battle,first,second,outcome
0,M3,M1,second
1,M1,M3,second
2,M1,M4,tie
3,M1,M4,first
4,M6,M3,first
5,M6,M4,second
6,M6,M4,second
7,M2,M1,first
8,M6,M3,second
9,M6,M3,tie
10,M6,M4,first
11,M4,M2,first
12,M6,M3,second
13,M4,M1,first
14,M6,M2,second
15,M4,M1,second
16,M2,M4,first
17,M4,M1,first
18,M4,M6,first
19,M2,M3,second
20,M6,M2,second
21,M6,M2,first
22,M2,M6,second
23,M4,M1,first
24,M6,M4,second
25,M6,M1,second
26,M5,M3,first
27,M4,M6,first
28,M1,M6,first
29,M2,M4,second
30,M4,M3,second
31,M4,M6,first
32,M2,M6,first
33,M2,M3,first
34,M2,M6,first
35,M5,M4,first
36,M2,M3,first
37,M6,M1,second
38,M1,M4,first
39,M2,M3,first
40,M6,M5,second
41,M1,M4,first
42,M2,M5,second
43,M5,M6,first
44,M6,M4,second
45,M3,M2,second
46,M6,M5,second
47,M3,M5,tie
48,M5,M4,second
49,M6,M5,second
50,M5,M3,first
51,M6,M1,second
52,M1,M5,first
53,M5,M2,first
54,M2,M4,first
55,M5,M1,second
56,M3,M1,first
57,M4,M2,first
58,M1,M3,first
59,M4,M3,second
60,M2,M3,tie
61,M2,M3,tie
62,M1,M2,first
63,M4,M5,second
64,M4,M1,second
65,M5,M6,first
66,M5,M3,first
67,M4,M2,first
68,M2,M5,first
69,M4,M1,first
70,M5,M2,first
71,M2,M1,first
72,M1,M4,first
73,M5,M6,first
74,M2,M6,first
75,M5,M1,first
76,M3,M1,second
77,M6,M1,second
78,M2,M4,second
79,M1,M3,first
80,M4,M1,second
81,M1,M5,tie
82,M6,M4,second
83,M5,M3,tie
84,M2,M5,second
85,M4,M2,second
86,M2,M4,first
87,M4,M2,first
88,M5,M2,second
89,M2,M6,first
90,M5,M4,second
91,M4,M3,second
92,M6,M1,tie
93,M5,M6,first
94,M3,M1,first
95,M2,M3,second
96,M5,M1,first
97,M4,M5,second
98,M4,M5,second
99,M3,M4,first
100,M6,M5,first
101,M2,M1,first
102,M4,M6,first
103,M3,M2,first
104,M6,M2,first
105,M1,M5,first
106,M1,M5,tie
107,M5,M4,second
108,M5,M6,second
109,M1,M6,first
110,M4,M3,first
111,M4,M1,second
112,M4,M6,first
113,M4,M5,tie
114,M4,M6,tie
115,M3,M1,first
116,M3,M6,first
117,M6,M4,second
118,M2,M3,second
119,M6,M2,second
120,M5,M1,first
121,M1,M4,first
122,M6,M2,second
123,M3,M6,first
124,M2,M6,first
125,M2,M4,second
126,M6,M5,first
127,M3,M6,first
128,M5,M1,first
129,M3,M1,first
130,M1,M3,second
131,M6,M3,second
132,M1,M3,first
133,M2,M6,tie
134,M6,M3,second
135,M3,M6,first
136,M5,M4,first
137,M6,M3,first
138,M3,M2,second
139,M5,M6,first
140,M3,M1,first
141,M3,M4,first
142,M2,M3,second
143,M4,M2,first
144,M3,M2,second
145,M1,M3,first
146,M5,M2,first
147,M3,M1,first
148,M2,M6,first
149,M1,M6,tie
150,M5,M6,first
151,M4,M3,first
152,M2,M5,second
153,M4,M3,first
154,M1,M6,first
155,M6,M3,second
156,M4,M3,first
157,M6,M2,first
158,M2,M4,first
159,M6,M5,second
160,M1,M2,first
161,M5,M3,first
162,M2,M3,first
163,M6,M1,second
164,M3,M4,first
165,M2,M3,first
166,M5,M1,first
167,M4,M2,second
168,M1,M3,first
169,M6,M3,second
170,M5,M4,first
171,M2,M5,second
172,M3,M2,tie
173,M3,M1,first
174,M4,M1,first
175,M5,M1,second
176,M2,M1,first
177,M6,M4,second
178,M3,M4,second
179,M1,M3,first
180,M5,M1,first
181,M5,M1,second
182,M2,M1,first
183,M2,M1,first
184,M4,M2,first
185,M6,M4,second
186,M3,M6,first
187,M5,M3,tie
188,M1,M4,first
189,M3,M1,first
190,M1,M6,second
191,M4,M1,tie
192,M4,M6,tie
193,M5,M2,first
194,M2,M5,second
195,M3,M6,first
196,M5,M2,second
197,M2,M1,second
198,M6,M1,first
199,M4,M6,first
200,M3,M1,second
201,M5,M3,first
202,M2,M1,first
203,M1,M2,first
204,M4,M6,first
205,M5,M3,first
206,M4,M2,first
207,M6,M4,first
208,M6,M4,second
209,M2,M6,first
210,M2,M3,first
211,M5,M3,second
