battle,first,second,outcome
0,M5,M1,second
1,M5,M2,second
2,M2,M3,first
3,M2,M3,first
4,M2,M5,tie
5,M1,M4,first
6,M2,M1,first
7,M3,M1,second
8,M3,M5,first
9,M5,M4,second
10,M1,M2,tie
11,M4,M2,second
12,M1,M2,first
13,M1,M3,first
14,M1,M5,first
15,M3,M4,first
16,M5,M2,tie
17,M1,M4,tie
18,M5,M1,first
19,M1,M5,first
20,M1,M5,first
21,M3,M1,first
22,M3,M2,tie
23,M4,M2,second
24,M3,M2,second
25,M3,M1,first
26,M2,M1,second
27,M4,M3,tie
28,M1,M4,first
29,M5,M4,second
30,M1,M5,second
31,M1,M4,first
32,M2,M3,first
33,M3,M1,second
34,M4,M1,first
35,M4,M5,second
36,M1,M4,first
37,M4,M1,first
38,M2,M3,first
39,M4,M5,first
40,M1,M2,second
41,M3,M4,first
42,M2,M1,first
43,M4,M3,second
44,M2,M5,first
45,M2,M3,first
46,M1,M5,first
47,M3,M5,tie
48,M1,M2,first
49,M1,M2,first
50,M2,M1,tie
51,M1,M5,first
52,M4,M1,second
53,M5,M2,first
54,M3,M2,second
55,M3,M1,first
56,M2,M4,first
57,M1,M2,second
58,M3,M5,first
59,M5,M2,second
60,M2,M1,first
61,M3,M1,tie
62,M1,M2,first
63,M2,M3,first
64,M3,M5,first
65,M1,M3,second
66,M5,M2,second
67,M2,M5,second
68,M4,M3,tie
69,M4,M3,second
70,M4,M3,second
71,M4,M2,second
72,M5,M2,second
73,M4,M5,first
74,M5,M1,second
75,M2,M4,first
76,M2,M1,tie
77,M5,M1,first
78,M2,M5,first
79,M3,M5,first
80,M2,M1,first
81,M5,M1,first
82,M5,M3,second
83,M2,M3,first
84,M3,M5,second
85,M2,M1,second
86,M3,M4,second
87,M3,M1,first
88,M3,M2,first
89,M3,M5,first
90,M2,M3,first
91,M1,M3,first
92,M5,M3,first
93,M2,M3,second
94,M3,M4,first
95,M5,M4,second
96,M1,M3,first
97,M3,M4,second
98,M2,M1,second
99,M4,M2,second
100,M5,M3,second
101,M4,M1,second
102,M2,M1,tie
103,M5,M1,second
104,M1,M2,first
105,M1,M4,first
106,M3,M1,tie
107,M5,M4,second
108,M3,M5,first
109,M2,M4,first
110,M5,M3,second
111,M4,M1,first
112,M3,M1,second
113,M4,M3,second
114,M3,M4,first
115,M2,M5,first
116,M2,M1,second
117,M3,M5,second
118,M2,M3,second
119,M2,M3,second
120,M2,M1,first
121,M4,M1,first
122,M5,M2,second
123,M4,M5,second
124,M4,M1,second
125,M4,M2,second
126,M3,M1,second
127,M3,M5,second
128,M3,M1,first
129,M2,M3,second
130,M3,M2,second
131,M2,M5,tie
132,M3,M1,first
133,M3,M1,second
134,M1,M5,first
135,M2,M5,first
136,M5,M3,first
137,M1,M3,first
138,M5,M1,first
139,M1,M5,second
140,M5,M4,first
141,M2,M3,second
142,M1,M3,first
143,M1,M2,first
144,M1,M3,first
145,M4,M2,second
146,M4,M1,second
147,M5,M3,first
148,M4,M1,tie
149,M3,M5,first
150,M5,M2,second
151,M4,M3,second
152,M1,M4,tie
153,M4,M3,first
154,M5,M2,second
155,M2,M4,first
156,M5,M4,second
157,M2,M3,second
158,M4,M3,first
159,M2,M4,second
160,M5,M4,second
161,M1,M2,tie
162,M3,M4,second
163,M4,M1,first
164,M1,M2,first
165,M2,M3,first
166,M5,M2,second
167,M5,M1,first
168,M1,M3,second
169,M1,M2,tie
170,M4,M1,first
171,M3,M1,second
172,M4,M5,first
173,M3,M4,first
174,M2,M4,first
175,M4,M5,first
176,M3,M1,first
177,M5,M1,first
178,M4,M5,first
179,M1,M4,second
180,M1,M2,first
181,M5,M3,tie
182,M2,M5,second
183,M5,M2,second
184,M2,M5,first
185,M1,M2,first
186,M3,M2,first
187,M3,M2,tie
188,M1,M4,first
189,M3,M2,first
190,M4,M2,second
191,M5,M3,first
192,M3,M4,first
193,M4,M3,first
194,M3,M5,second
195,M4,M1,first
196,M4,M3,second
197,M4,M2,first
198,M4,M2,second
199,M4,M3,first
200,M5,M3,first
201,M3,M1,first
202,M3,M5,first
203,M4,M5,second
204,M5,M4,second
205,M2,M4,first
206,M3,M1,second
207,M3,M1,first
208,M2,M4,first
209,M4,M1,first
210,M1,M2,first
211,M3,M1,second
212,M2,M4,first
213,M5,M3,second
214,M2,M5,first
215,M3,M1,first
216,M2,M5,first
217,M4,M2,first
218,M5,M2,second
219,M2,M5,second
220,M4,M2,tie
221,M3,M4,second
222,M1,M4,first
223,M2,M3,first
224,M2,M4,first
225,M5,M2,second
226,M1,M5,second
227,M1,M2,second
228,M5,M2,first
229,M3,M1,second
230,M5,M4,first
231,M4,M5,first
232,M2,M4,first
233,M3,M2,second
234,M5,M2,second
235,M2,M3,first
236,M1,M4,tie
237,M1,M5,second
238,M3,M2,first
239,M4,M2,second
240,M5,M2,second
241,M5,M3,second
242,M3,M5,first
243,M5,M1,second
244,M1,M5,first
245,M2,M4,first
246,M5,M3,first
247,M4,M1,first
248,M3,M1,second
249,M5,M1,first
250,M2,M3,tie
251,M2,M4,second
252,M1,M5,first
253,M4,M1,first
254,M3,M1,first
255,M4,M1,second
256,M2,M3,first
257,M5,M2,second
258,M4,M3,first
259,M2,M5,second
260,M4,M2,second
261,M2,M5,first
262,M4,M5,first
263,M4,M5,first
264,M1,M3,first
265,M3,M4,second
266,M2,M4,first
267,M3,M4,second
268,M2,M1,first
269,M1,M2,tie
270,M4,M2,first
271,M4,M3,first
272,M2,M3,first
273,M1,M2,first
274,M3,M1,tie
275,M1,M5,first
276,M1,M2,first
277,M2,M4,first
278,M5,M2,first
279,M4,M2,first
280,M5,M4,first
281,M4,M5,first
282,M3,M1,first
283,M5,M3,second
284,M2,M5,first
285,M4,M3,first
286,M2,M3,second
287,M4,M5,second
288,M5,M3,tie
289,M4,M2,second
290,M2,M3,first
291,M4,M5,second
292,M4,M2,first
293,M4,M3,second
294,M1,M5,first
295,M2,M4,first
296,M2,M1,tie
297,M3,M4,second
298,M3,M2,tie
299,M4,M2,second
300,M4,M1,tie
301,M3,M5,first
302,M4,M1,first
303,M3,M5,first
304,M3,M4,second
305,M2,M4,first
306,M1,M4,first
307,M3,M2,second
308,M4,M5,first
309,M5,M4,second
310,M4,M5,first
311,M5,M1,second
312,M4,M3,second
313,M2,M1,second
314,M1,M3,second
315,M3,M5,first
316,M2,M4,second
317,M3,M5,second
318,M5,M3,first
319,M5,M2,second
320,M5,M4,second
321,M4,M1,first
322,M4,M1,second
323,M2,M4,first
324,M1,M5,first
325,M5,M3,second
326,M5,M1,second
327,M4,M1,first
328,M3,M1,tie
329,M2,M1,tie
330,M2,M5,first
331,M3,M2,second
332,M1,M4,first
333,M2,M4,second
334,M3,M5,second
335,M3,M2,second
336,M4,M2,first
337,M4,M3,tie
338,M2,M4,tie
339,M4,M2,first
340,M1,M3,first
341,M4,M1,tie
342,M4,M5,tie
343,M2,M4,tie
344,M3,M1,second
345,M3,M5,first
346,M1,M3,first
347,M4,M2,first
348,M2,M5,first
349,M3,M5,first
350,M1,M3,first
351,M2,M5,first
352,M5,M3,second
353,M4,M1,first
354,M4,M2,first
355,M3,M1,second
356,M4,M2,first
357,M4,M1,second
358,M1,M4,first
359,M3,M2,second
360,M4,M5,first
361,M1,M2,second
362,M1,M4,first
363,M5,M1,second
364,M2,M5,first
365,M3,M1,second
366,M1,M5,first
367,M3,M5,tie
368,M2,M5,first
369,M3,M5,first
370,M3,M5,first
371,M1,M3,first
372,M1,M3,first
373,M4,M1,first
374,M5,M3,second
375,M2,M1,first
376,M2,M5,first
377,M5,M4,first
378,M4,M1,first
379,M3,M1,first
380,M5,M4,second
381,M2,M1,second
382,M2,M5,first
383,M2,M3,first
384,M2,M5,first
385,M1,M2,first
386,M1,M4,first
387,M5,M3,tie
388,M5,M3,first
389,M2,M4,first
390,M4,M2,first
391,M5,M2,second
392,M3,M5,second
393,M4,M5,first
394,M4,M5,second
395,M3,M1,first
396,M2,M3,first
397,M4,M3,second
398,M5,M4,first
399,M3,M1,first
