item,sample,M1,M2,M3,M4,M5
0,0,1,1,1,1,1
0,1,1,1,1,1,0
0,2,1,1,1,1,1
0,3,1,1,1,1,1
0,4,1,0,1,1,1
0,5,1,1,1,1,1
0,6,1,1,1,1,1
0,7,1,1,1,1,1
0,8,0,1,1,1,1
0,9,1,1,1,0,1
1,0,0,1,1,1,1
1,1,1,1,1,1,1
1,2,1,1,1,1,1
1,3,1,1,1,1,1
1,4,1,1,1,1,1
1,5,1,1,1,1,0
1,6,1,1,1,1,1
1,7,1,1,1,1,1
1,8,0,1,1,1,1
1,9,1,1,1,1,1
2,0,0,1,0,0,1
2,1,1,1,1,1,0
2,2,1,1,1,0,0
2,3,1,1,1,0,0
2,4,1,1,0,1,0
2,5,1,1,1,1,1
2,6,1,1,1,1,1
2,7,0,1,0,0,0
2,8,1,0,1,0,0
2,9,1,1,0,1,0
3,0,1,0,1,1,1
3,1,0,1,1,1,1
3,2,1,1,0,0,0
3,3,0,1,1,0,0
3,4,1,1,0,1,0
3,5,1,1,0,0,0
3,6,1,0,1,0,1
3,7,1,1,1,1,1
3,8,1,1,1,1,1
3,9,1,0,0,1,1
4,0,1,1,1,1,1
4,1,1,0,1,1,1
4,2,0,1,1,1,1
4,3,1,1,1,1,1
4,4,1,1,1,1,0
4,5,1,1,1,1,1
4,6,1,1,1,1,0
4,7,1,1,1,1,0
4,8,1,1,1,1,1
4,9,1,1,1,1,1
5,0,0,1,1,1,0
5,1,0,1,1,1,0
5,2,1,1,0,0,0
5,3,0,1,0,0,1
5,4,0,1,1,0,1
5,5,1,0,1,0,0
5,6,1,1,0,1,0
5,7,1,1,0,1,0
5,8,1,1,1,0,1
5,9,1,1,0,1,0
6,0,1,1,0,0,0
6,1,1,1,1,1,0
6,2,1,1,1,1,1
6,3,0,1,1,1,1
6,4,1,1,1,0,1
6,5,0,1,1,1,1
6,6,1,1,1,1,1
6,7,1,1,1,0,1
6,8,0,1,0,1,1
6,9,1,1,1,1,1
7,0,0,0,1,0,0
7,1,1,0,0,0,1
7,2,0,0,0,0,1
7,3,1,1,0,1,0
7,4,0,1,0,0,1
7,5,0,0,0,0,0
7,6,0,1,0,0,0
7,7,1,1,0,0,1
7,8,0,1,0,0,0
7,9,0,1,1,0,0
8,0,0,0,0,1,0
8,1,0,1,0,0,0
8,2,1,0,0,1,0
8,3,0,0,0,1,0
8,4,0,1,0,0,0
8,5,1,0,0,0,0
8,6,0,0,1,1,1
8,7,0,1,0,0,0
8,8,0,1,0,1,1
8,9,1,1,0,1,0
9,0,0,1,0,0,0
9,1,0,0,0,1,0
9,2,1,1,1,1,1
9,3,0,1,0,0,0
9,4,0,1,1,0,1
9,5,0,0,0,0,0
9,6,0,0,1,1,0
9,7,0,0,0,0,1
9,8,1,0,0,0,1
9,9,0,1,1,1,0
10,0,1,0,0,1,0
10,1,1,1,1,1,1
10,2,1,0,0,0,0
10,3,0,0,0,0,0
10,4,1,0,0,1,0
10,5,1,0,0,0,0
10,6,0,1,1,0,0
10,7,1,0,0,0,0
10,8,1,1,0,0,0
10,9,1,1,1,1,1
11,0,1,0,0,0,0
11,1,0,0,0,1,0
11,2,0,1,1,0,0
11,3,0,1,1,1,1
11,4,0,0,0,0,0
11,5,0,1,1,0,1
11,6,0,1,0,1,0
11,7,0,1,0,1,0
11,8,0,1,1,0,1
11,9,0,1,0,1,1
12,0,1,1,1,1,1
12,1,1,1,1,1,1
12,2,1,1,1,1,1
12,3,1,1,1,1,1
12,4,1,1,1,1,1
12,5,1,1,1,1,1
12,6,1,1,1,1,1
12,7,1,1,1,1,1
12,8,1,1,1,1,1
12,9,1,1,1,1,1
13,0,1,1,1,1,1
13,1,1,1,1,1,1
13,2,0,1,1,1,1
13,3,1,1,1,1,1
13,4,1,1,1,1,1
13,5,1,0,1,1,1
13,6,1,1,1,1,1
13,7,1,1,1,1,1
13,8,1,1,1,1,1
13,9,1,1,1,1,1
14,0,1,0,1,1,1
14,1,0,1,0,1,1
14,2,0,1,0,1,0
14,3,0,0,0,0,1
14,4,0,0,0,1,0
14,5,1,1,1,0,1
14,6,0,0,0,0,0
14,7,1,0,0,0,0
14,8,1,0,1,1,0
14,9,1,1,0,1,1
15,0,1,1,0,1,0
15,1,1,1,0,0,0
15,2,1,0,0,1,1
15,3,1,1,0,1,0
15,4,1,1,1,1,0
15,5,1,0,0,1,0
15,6,1,0,1,0,1
15,7,1,0,1,0,0
15,8,0,0,1,1,1
15,9,0,0,1,1,0
16,0,1,1,0,1,0
16,1,1,0,1,1,1
16,2,0,1,1,0,1
16,3,1,0,0,1,1
16,4,0,0,1,1,0
16,5,1,0,0,1,1
16,6,1,1,1,0,0
16,7,1,1,0,1,0
16,8,1,1,1,1,0
16,9,1,1,1,1,1
17,0,0,0,0,0,1
17,1,0,1,1,0,1
17,2,0,1,0,0,1
17,3,0,0,1,1,1
17,4,0,1,0,0,1
17,5,0,1,1,0,0
17,6,1,0,1,0,0
17,7,0,0,1,1,1
17,8,1,1,1,0,0
17,9,1,0,0,0,1
18,0,1,0,0,0,0
18,1,0,1,0,1,1
18,2,1,1,1,1,0
18,3,0,1,1,1,1
18,4,0,1,1,1,0
18,5,1,1,0,0,1
18,6,1,1,1,1,0
18,7,1,0,0,1,1
18,8,0,1,1,1,0
18,9,1,1,0,1,1
19,0,1,0,1,1,1
19,1,1,1,0,0,0
19,2,1,1,1,1,1
19,3,1,1,1,1,0
19,4,1,0,1,1,1
19,5,1,1,1,1,1
19,6,1,0,1,1,0
19,7,1,1,1,1,0
19,8,1,0,1,0,1
19,9,1,0,1,1,0
20,0,1,1,1,1,1
20,1,1,1,1,1,1
20,2,1,1,1,1,1
20,3,1,1,1,1,1
20,4,1,1,1,1,1
20,5,1,1,1,1,1
20,6,1,1,1,1,1
20,7,1,0,1,1,1
20,8,1,1,1,1,1
20,9,1,1,1,1,1
21,0,0,0,0,0,0
21,1,0,0,0,0,0
21,2,1,1,0,0,1
21,3,0,0,0,1,0
21,4,1,0,0,0,0
21,5,1,0,0,0,0
21,6,0,0,0,0,0
21,7,1,0,0,1,1
21,8,1,0,0,1,0
21,9,0,0,1,1,0
22,0,1,1,0,1,1
22,1,1,1,1,1,1
22,2,1,1,0,1,1
22,3,1,1,1,1,0
22,4,1,0,1,0,1
22,5,1,1,1,1,0
22,6,0,1,0,1,1
22,7,1,1,1,1,1
22,8,0,1,1,1,1
22,9,1,1,1,1,1
23,0,1,0,1,1,0
23,1,1,0,1,1,1
23,2,1,1,1,0,0
23,3,0,1,1,1,0
23,4,1,1,0,1,1
23,5,1,1,1,0,1
23,6,1,0,0,1,0
23,7,0,1,1,1,1
23,8,1,1,0,1,0
23,9,1,1,1,1,1
24,0,1,1,0,1,1
24,1,1,0,1,0,1
24,2,1,1,1,1,0
24,3,1,1,1,1,1
24,4,0,0,0,1,1
24,5,1,1,1,0,1
24,6,1,1,0,1,1
24,7,1,1,1,0,1
24,8,0,1,1,1,0
24,9,0,1,1,0,0
25,0,1,1,1,1,1
25,1,1,1,1,1,1
25,2,1,1,1,1,1
25,3,1,1,1,1,1
25,4,1,1,1,1,1
25,5,1,1,1,1,1
25,6,1,1,0,1,1
25,7,1,1,1,1,1
25,8,1,1,1,1,1
25,9,1,0,1,1,1
26,0,1,0,1,1,0
26,1,1,1,1,1,1
26,2,0,1,0,1,1
26,3,1,0,0,1,1
26,4,1,0,0,0,1
26,5,1,0,1,1,0
26,6,1,1,1,1,0
26,7,1,1,1,1,0
26,8,0,1,1,1,0
26,9,1,0,1,0,1
27,0,1,1,1,0,0
27,1,1,1,1,1,1
27,2,0,0,0,1,0
27,3,1,1,1,1,0
27,4,1,1,1,1,0
27,5,1,1,0,1,1
27,6,1,1,0,1,0
27,7,0,1,1,0,1
27,8,1,1,0,1,1
27,9,1,1,1,1,0
28,0,1,1,0,1,0
28,1,1,1,0,1,0
28,2,0,1,1,1,1
28,3,1,1,1,0,1
28,4,0,1,0,1,0
28,5,1,1,1,1,1
28,6,1,1,1,1,1
28,7,1,1,1,0,1
28,8,1,0,1,0,0
28,9,1,1,1,1,1
29,0,1,1,1,1,0
29,1,1,1,0,0,0
29,2,0,0,1,0,0
29,3,1,0,0,0,0
29,4,0,1,0,1,1
29,5,0,1,0,0,1
29,6,1,1,1,0,0
29,7,1,1,1,1,1
29,8,0,0,1,0,0
29,9,0,1,1,0,1
30,0,1,0,1,1,1
30,1,0,0,1,1,0
30,2,1,1,0,1,0
30,3,1,1,1,1,1
30,4,1,0,0,0,1
30,5,1,0,0,0,1
30,6,1,0,0,1,1
30,7,0,1,0,0,0
30,8,1,1,1,0,0
30,9,0,0,1,1,0
31,0,1,0,1,1,1
31,1,1,1,1,0,1
31,2,1,1,1,1,1
31,3,1,1,1,1,1
31,4,1,1,1,0,1
31,5,1,1,1,1,0
31,6,1,1,0,1,0
31,7,1,1,1,1,1
31,8,1,1,1,1,1
31,9,1,1,0,0,1
32,0,1,1,0,1,1
32,1,1,1,1,1,1
32,2,1,1,0,0,0
32,3,1,1,0,1,1
32,4,0,1,0,1,1
32,5,0,1,0,1,1
32,6,0,1,1,0,0
32,7,1,1,1,1,1
32,8,0,1,1,1,1
32,9,1,1,0,1,1
33,0,1,0,1,1,1
33,1,1,0,1,0,1
33,2,1,1,1,1,1
33,3,1,1,1,1,1
33,4,1,1,1,1,1
33,5,1,1,1,1,1
33,6,1,1,1,1,0
33,7,1,1,1,1,1
33,8,1,1,1,1,1
33,9,1,1,1,1,1
34,0,1,1,1,0,1
34,1,1,1,1,1,1
34,2,1,1,1,1,1
34,3,1,1,1,1,1
34,4,1,1,1,1,1
34,5,1,1,1,1,1
34,6,1,1,1,1,1
34,7,1,1,1,1,1
34,8,1,1,1,1,1
34,9,1,1,1,0,0
35,0,0,0,0,0,0
35,1,0,0,0,0,0
35,2,0,0,0,0,0
35,3,0,0,0,0,0
35,4,0,0,0,0,0
35,5,0,0,0,0,0
35,6,0,1,0,0,0
35,7,0,1,0,0,0
35,8,0,0,0,0,0
35,9,0,0,0,1,0
36,0,0,0,0,0,0
36,1,0,0,0,0,0
36,2,0,0,0,0,0
36,3,0,0,0,0,0
36,4,0,0,0,0,0
36,5,0,0,0,0,0
36,6,0,1,0,0,0
36,7,0,0,0,0,0
36,8,0,0,0,1,1
36,9,0,0,0,0,0
37,0,0,1,1,1,1
37,1,0,1,1,1,1
37,2,1,1,0,0,1
37,3,1,1,0,1,1
37,4,0,1,0,0,0
37,5,1,1,1,1,0
37,6,0,0,1,1,1
37,7,1,1,1,0,0
37,8,0,1,1,0,0
37,9,1,0,1,1,0
38,0,1,1,0,1,1
38,1,1,0,1,1,1
38,2,1,1,0,1,1
38,3,1,1,1,1,1
38,4,1,1,1,1,1
38,5,0,1,1,1,1
38,6,1,1,1,1,1
38,7,1,1,1,1,0
38,8,1,1,1,1,0
38,9,1,1,1,1,1
39,0,1,1,1,1,1
39,1,1,1,1,1,1
39,2,1,1,0,1,0
39,3,0,1,1,0,1
39,4,1,0,1,1,1
39,5,1,1,1,1,1
39,6,0,1,1,1,1
39,7,1,0,1,1,0
39,8,1,1,0,1,1
39,9,1,1,1,1,1
40,0,0,0,0,0,0
40,1,0,0,0,1,0
40,2,1,0,0,0,0
40,3,0,0,0,0,0
40,4,0,0,0,0,0
40,5,0,0,0,0,0
40,6,0,0,0,0,0
40,7,1,0,0,0,0
40,8,0,0,0,0,0
40,9,0,0,0,0,0
41,0,0,0,0,0,1
41,1,0,0,1,1,1
41,2,1,0,0,0,1
41,3,1,0,0,0,0
41,4,1,1,0,0,0
41,5,0,0,1,0,0
41,6,1,0,1,1,0
41,7,0,1,1,0,1
41,8,0,1,1,1,0
41,9,1,0,0,0,0
42,0,1,1,0,1,0
42,1,1,1,0,0,1
42,2,0,0,0,0,0
42,3,1,1,1,0,1
42,4,0,0,0,0,0
42,5,1,0,0,0,0
42,6,1,0,1,1,0
42,7,1,1,0,0,0
42,8,0,0,1,1,1
42,9,0,1,0,0,0
43,0,1,1,0,0,0
43,1,1,1,1,0,0
43,2,1,1,1,1,0
43,3,1,1,1,0,1
43,4,0,1,0,1,0
43,5,0,1,0,0,0
43,6,1,0,0,0,0
43,7,1,1,1,0,0
43,8,1,0,0,1,1
43,9,1,0,0,0,1
44,0,1,1,1,1,0
44,1,0,1,1,0,1
44,2,1,0,0,1,0
44,3,1,0,1,1,0
44,4,1,0,1,1,0
44,5,1,1,0,1,1
44,6,0,1,1,1,1
44,7,0,1,0,0,1
44,8,1,0,1,1,1
44,9,1,1,0,0,0
45,0,1,0,1,0,0
45,1,1,0,0,1,0
45,2,1,1,1,0,0
45,3,1,1,1,0,0
45,4,1,0,1,0,0
45,5,1,0,0,1,1
45,6,1,1,0,1,1
45,7,1,1,1,0,0
45,8,1,1,1,1,0
45,9,1,0,0,1,1
46,0,1,1,1,1,1
46,1,1,1,1,1,1
46,2,1,0,1,0,1
46,3,1,1,0,1,1
46,4,0,1,1,1,1
46,5,1,0,1,0,1
46,6,1,1,0,0,1
46,7,1,1,1,1,1
46,8,1,1,0,0,0
46,9,1,1,1,1,1
47,0,0,0,1,0,0
47,1,1,0,1,0,0
47,2,1,0,0,0,1
47,3,1,1,0,0,0
47,4,1,0,1,1,0
47,5,0,0,1,1,0
47,6,1,0,1,1,0
47,7,0,0,1,1,0
47,8,1,1,0,1,0
47,9,0,1,0,1,1
48,0,0,0,0,0,0
48,1,0,0,0,1,0
48,2,0,0,0,0,0
48,3,0,0,0,0,0
48,4,0,0,0,1,1
48,5,0,0,0,0,0
48,6,0,1,0,0,0
48,7,0,0,0,0,0
48,8,0,0,0,0,0
48,9,0,0,0,0,0
49,0,1,0,0,0,0
49,1,0,0,0,0,0
49,2,1,0,0,0,0
49,3,0,0,0,0,0
49,4,1,1,1,0,0
49,5,0,0,1,0,0
49,6,0,1,0,0,0
49,7,0,0,0,0,0
49,8,0,0,1,0,0
49,9,1,0,0,0,1
50,0,1,1,1,1,1
50,1,1,1,1,1,1
50,2,1,1,1,1,1
50,3,1,1,1,1,1
50,4,1,1,1,1,1
50,5,1,1,1,1,1
50,6,1,1,1,1,0
50,7,1,1,1,1,1
50,8,1,1,1,1,1
50,9,1,1,1,1,1
51,0,0,0,0,0,1
51,1,0,0,0,0,0
51,2,0,0,0,1,0
51,3,0,0,0,1,0
51,4,0,1,0,1,1
51,5,0,1,0,1,0
51,6,0,0,0,0,0
51,7,1,0,0,0,0
51,8,1,0,0,0,0
51,9,1,0,0,0,0
52,0,0,1,0,1,0
52,1,1,1,1,1,0
52,2,1,1,1,1,0
52,3,1,1,0,1,0
52,4,1,1,0,1,1
52,5,1,0,1,1,0
52,6,0,0,1,0,0
52,7,1,1,0,1,0
52,8,1,1,0,1,0
52,9,0,1,0,1,0
53,0,1,1,1,1,1
53,1,1,1,1,1,0
53,2,1,1,0,1,0
53,3,1,1,1,1,1
53,4,1,1,1,1,0
53,5,1,1,1,1,1
53,6,1,0,1,0,1
53,7,1,1,1,1,1
53,8,0,0,1,1,1
53,9,1,1,0,0,1
54,0,1,1,1,1,1
54,1,1,1,1,0,1
54,2,1,1,1,1,1
54,3,0,1,1,1,1
54,4,1,0,1,1,1
54,5,1,1,1,0,1
54,6,1,1,1,1,1
54,7,1,1,1,1,0
54,8,1,1,1,1,1
54,9,1,1,1,0,1
55,0,0,1,1,1,1
55,1,1,1,1,1,1
55,2,1,1,1,1,0
55,3,1,1,1,1,1
55,4,1,1,1,1,1
55,5,1,1,1,1,1
55,6,1,1,1,1,1
55,7,1,1,1,1,1
55,8,1,1,1,1,1
55,9,1,1,1,1,1
56,0,1,1,1,1,0
56,1,1,1,1,1,1
56,2,1,1,1,1,1
56,3,1,0,1,1,1
56,4,1,1,1,1,1
56,5,1,1,1,1,1
56,6,1,1,1,1,1
56,7,1,1,1,1,0
56,8,1,1,1,1,1
