item,M1,M2,M3,M4,M5
0,0,1,1,1,0
1,1,1,1,1,1
2,1,1,1,1,0
3,0,1,0,0,0
4,1,1,1,0,1
5,1,0,1,0,1
6,1,1,1,1,1
7,1,1,1,1,0
8,1,1,1,1,1
9,1,1,0,1,1
10,0,1,0,1,1
11,1,1,1,0,1
12,0,1,0,0,0
13,1,0,0,1,0
14,1,1,0,1,1
15,1,0,0,1,0
16,0,0,0,0,0
17,1,1,0,0,1
18,1,1,1,1,1
19,1,1,0,1,0
20,1,1,1,1,1
21,0,1,1,0,1
22,0,0,0,1,0
23,1,0,1,1,0
24,1,1,1,1,1
25,0,0,0,0,0
26,1,0,1,1,0
27,1,1,1,0,1
28,1,1,1,1,1
29,0,0,1,0,0
30,1,1,1,0,1
31,1,1,0,1,0
32,1,1,1,1,0
33,1,1,1,1,1
34,1,1,0,0,1
35,0,0,1,0,0
36,1,0,0,0,0
37,1,1,0,1,1
38,1,1,1,1,0
39,1,1,1,0,1
40,1,0,1,0,1
41,1,1,1,1,1
42,1,1,0,0,1
43,1,1,0,1,1
44,0,1,0,1,0
45,1,1,1,1,0
46,0,1,0,1,1
47,1,1,1,1,1
48,1,0,0,0,0
49,1,1,0,1,1
50,1,1,1,1,1
51,1,1,1,1,1
52,1,1,0,0,0
53,1,1,1,1,1
54,1,1,1,0,0
55,1,1,1,1,1
56,1,1,1,1,1
57,1,0,1,0,1
58,0,0,0,0,0
59,1,1,0,0,1
60,1,1,1,1,1
61,1,1,1,1,1
62,1,1,1,1,1
63,1,0,1,1,0
64,0,0,0,0,0
65,1,1,0,1,1
66,1,1,1,1,1
67,1,0,1,0,1
68,1,1,1,1,0
69,1,1,1,1,0
70,1,1,0,1,1
71,0,0,1,0,0
72,1,1,1,0,1
73,0,0,1,0,0
74,1,1,0,1,0
75,1,1,0,1,1
76,1,1,0,1,0
77,1,0,0,1,0
78,1,1,1,1,1
79,1,0,1,0,0
80,1,0,0,1,1
81,1,0,1,1,1
82,1,1,1,1,0
83,1,1,1,1,1
84,1,1,1,1,1
85,0,0,1,1,1
86,1,1,1,0,1
87,1,0,1,1,0
88,1,1,1,1,1
89,1,1,1,0,1
90,1,1,1,0,1
91,1,1,1,0,0
92,1,1,1,1,1
93,1,1,0,1,0
94,1,0,1,0,0
95,1,1,1,0,1
96,0,0,0,1,0
97,0,0,1,0,1
98,0,1,1,1,1
99,1,0,1,1,1
100,1,1,1,1,0
101,0,0,0,0,0
102,1,0,1,1,1
103,0,0,1,0,1
104,1,1,1,0,1
105,1,1,0,1,0
106,1,1,0,1,0
107,1,1,1,1,1
108,1,0,0,1,0
109,1,1,1,1,0
110,0,1,0,1,1
111,1,0,1,0,0
112,0,0,0,1,1
113,1,1,1,0,1
114,1,1,1,1,1
115,1,0,0,0,0
116,0,0,0,1,0
117,1,1,1,1,1
118,1,1,0,1,1
119,1,1,1,1,1
120,1,0,1,1,1
121,0,1,1,1,0
122,0,1,0,0,0
123,1,1,1,1,0
124,1,1,1,1,1
125,1,1,1,1,1
126,0,1,0,1,1
127,1,0,0,0,1
128,0,1,1,1,1
129,1,0,1,1,1
130,1,1,0,1,0
131,1,1,0,0,0
132,1,1,1,1,1
133,1,1,1,0,1
134,0,1,1,0,0
135,1,1,1,1,1
136,0,0,0,1,0
137,1,1,1,1,1
138,1,1,1,0,1
139,0,1,1,1,0
140,1,1,1,1,1
141,1,1,1,1,1
142,1,1,1,1,1
143,1,1,1,0,0
144,0,1,1,1,0
145,1,0,0,0,0
146,1,1,1,1,1
147,1,1,1,1,0
148,0,1,1,1,1
149,1,1,1,1,1
150,0,0,0,0,0
151,0,1,1,1,1
152,1,1,1,0,1
153,0,0,0,0,0
154,1,1,0,0,0
155,0,1,1,1,0
156,1,1,1,1,1
157,1,0,0,0,0
158,1,1,1,0,1
159,0,1,0,1,0
160,1,1,1,0,1
161,0,0,1,0,0
162,0,1,1,1,1
163,1,1,1,1,1
164,1,1,1,0,1
165,0,1,1,1,0
166,1,1,1,1,1
167,0,1,0,1,0
168,1,1,1,0,0
169,1,1,1,1,1
170,0,1,1,1,0
171,1,1,1,0,1
172,1,0,1,0,0
173,1,1,1,1,1
174,0,1,0,0,0
175,1,1,1,1,1
176,0,0,0,0,0
177,1,1,1,1,0
178,1,0,0,1,1
179,1,0,0,1,0
180,1,0,0,1,0
181,0,0,1,0,0
182,1,1,1,1,1
183,1,1,1,1,1
184,0,1,1,0,0
185,1,1,0,1,1
186,0,1,1,0,1
187,1,1,1,1,1
188,0,1,1,0,0
189,1,1,0,1,0
190,1,1,1,1,1
191,1,1,1,0,1
192,0,0,0,0,0
193,1,0,1,1,1
194,1,1,1,1,1
195,1,1,1,1,0
196,1,1,1,1,1
197,0,0,1,0,1
198,1,1,0,1,1
199,1,1,1,1,1
200,1,1,1,1,1
201,1,1,0,0,1
202,1,1,1,1,1
203,0,1,1,0,0
204,1,0,1,1,0
205,0,1,0,1,0
206,1,1,1,0,1
207,1,1,1,1,1
208,1,0,1,0,0
209,1,1,1,1,0
210,1,1,1,1,1
211,1,1,1,0,1
212,1,1,1,1,0
213,0,1,0,0,0
214,1,1,0,1,1
215,1,1,1,1,1
216,1,1,1,1,1
217,1,1,1,1,1
218,1,1,1,1,0
219,1,0,1,0,0
220,1,1,0,0,1
221,1,0,0,1,1
222,0,1,0,1,1
223,1,1,1,0,1
224,0,1,1,1,1
225,1,1,1,1,1
226,1,1,1,0,0
227,0,0,1,0,0
228,1,1,0,1,0
229,0,1,1,1,1
230,0,0,1,0,0
231,1,1,1,1,1
232,0,1,1,1,1
233,1,1,1,1,1
234,1,0,1,1,1
235,1,1,1,0,1
236,1,1,1,1,1
237,1,0,1,1,1
238,1,1,1,1,1
239,1,1,1,1,1
240,0,1,0,0,0
241,1,1,0,0,0
242,1,1,1,1,0
243,1,1,1,1,0
244,1,1,1,1,1
245,1,1,0,1,0
246,0,0,0,1,0
247,1,1,1,0,0
248,1,0,1,1,0
249,1,1,1,1,0
250,1,0,1,0,1
251,1,1,1,0,0
252,1,0,1,0,1
253,1,1,1,1,0
254,0,0,1,1,1
255,1,0,1,1,1
256,1,0,1,1,0
257,1,1,1,1,0
258,1,0,1,0,1
259,1,1,1,1,1
260,0,1,1,0,0
261,1,1,1,1,1
262,0,1,1,0,0
263,1,1,1,1,0
264,1,1,1,1,0
265,1,1,1,1,0
266,1,1,1,1,0
267,1,1,1,0,0
268,1,1,1,1,1
269,1,0,1,0,1
270,1,1,1,1,1
271,0,1,0,0,1
272,0,1,1,0,0
273,1,1,0,1,1
274,0,1,1,1,0
275,1,1,1,1,1
276,1,1,1,1,1
277,1,1,1,1,1
278,1,0,1,0,1
279,1,1,1,1,1
280,1,0,1,1,1
281,0,1,1,1,0
282,1,0,0,0,0
283,1,1,0,1,1
284,1,1,0,1,1
285,1,1,1,1,1
286,1,1,1,0,0
287,1,0,1,0,1
288,1,1,1,1,1
289,1,0,1,1,1
290,1,1,1,1,1
291,1,0,0,1,0
292,1,0,1,1,1
293,1,1,1,0,1
294,1,1,0,1,1
295,1,1,1,1,1
296,1,1,1,1,1
297,0,1,1,1,0
298,0,1,1,0,1
299,1,1,1,1,1
300,1,1,0,1,1
301,0,0,1,0,0
302,0,1,1,1,0
303,0,0,0,1,0
304,1,1,1,0,0
305,1,1,0,1,1
306,0,0,0,0,1
307,1,1,0,1,0
308,0,1,0,0,1
309,1,1,1,1,1
310,1,1,1,1,1
311,1,1,0,1,1
312,1,0,1,1,1
313,1,0,0,1,1
314,1,1,0,0,1
315,1,1,1,1,0
316,1,0,0,0,0
317,1,0,1,1,1
318,0,1,0,0,0
319,0,0,1,0,0
320,0,0,1,0,1
321,1,1,1,1,1
322,1,1,1,1,1
323,1,1,1,1,0
324,1,0,0,0,1
325,1,1,1,1,1
326,1,1,0,1,1
327,0,0,0,0,0
328,1,0,0,1,1
329,0,0,1,1,1
330,0,1,0,0,0
331,1,1,1,1,1
332,0,0,0,1,1
333,1,1,1,1,1
334,1,0,0,0,0
335,1,1,1,0,0
336,1,1,0,1,1
337,1,0,1,1,0
338,1,1,1,1,1
339,0,0,1,0,0
340,0,0,0,0,1
341,1,1,0,1,0
342,1,0,0,0,1
343,1,1,1,1,0
344,1,1,1,0,0
345,1,1,1,1,1
346,1,1,1,0,1
347,1,1,1,1,1
348,0,1,0,1,1
349,1,0,1,1,1
350,1,1,1,1,1
351,1,0,1,1,1
352,0,1,0,0,1
353,0,1,0,1,0
354,1,1,0,0,1
355,1,0,1,1,1
356,0,0,0,0,0
357,0,1,0,0,1
358,0,1,1,1,1
359,1,1,0,1,1
360,1,0,1,0,1
361,0,1,0,0,1
362,1,1,1,1,1
363,0,0,0,0,0
364,1,1,1,1,1
365,1,1,1,1,0
366,1,1,1,1,1
367,1,1,1,0,1
368,1,1,1,1,0
369,0,1,0,1,1
370,0,0,0,0,1
371,0,0,1,1,1
372,1,1,1,1,1
373,0,1,1,1,1
374,1,1,1,0,1
375,1,1,1,1,0
376,1,0,1,0,1
377,1,1,0,0,0
378,1,1,1,0,0
379,1,0,0,1,0
380,0,1,1,1,1
381,1,0,0,1,0
382,0,1,1,0,0
383,1,1,1,0,1
384,0,1,1,1,1
385,1,1,1,1,0
386,0,0,0,0,0
387,0,1,0,0,0
388,1,1,0,1,0
389,1,0,1,0,0
390,1,1,1,0,0
391,1,1,1,1,1
392,1,1,1,1,1
393,1,1,1,0,1
394,1,0,1,0,0
395,1,1,1,0,0
396,0,1,1,1,0
397,0,0,0,0,1
398,1,1,1,1,1
399,1,1,1,1,1
400,0,0,0,0,0
401,0,1,1,1,1
402,1,1,0,0,1
403,1,1,1,1,1
404,1,0,0,1,1
405,1,1,0,1,0
406,1,0,1,1,1
407,0,1,1,1,1
408,1,1,1,1,1
409,1,1,1,1,1
410,0,1,0,1,1
411,0,1,0,0,0
412,0,0,1,1,0
413,0,1,0,0,1
414,0,0,0,0,0
415,1,1,1,0,1
416,1,1,1,0,0
417,0,0,0,1,0
418,0,0,0,0,0
419,1,1,0,0,1
420,1,1,1,0,1
421,1,1,0,1,1
422,1,1,1,1,1
423,1,1,1,1,1
424,1,1,1,1,0
425,1,0,1,0,0
426,0,1,0,0,0
427,0,0,1,1,1
428,1,1,1,1,1
429,1,1,1,0,1
430,1,1,1,1,0
431,1,1,1,1,0
432,1,1,1,0,0
433,1,1,0,1,1
434,1,0,0,0,0
435,1,1,1,1,1
436,1,1,1,1,1
437,1,1,1,1,1
438,0,1,0,1,0
439,1,1,1,1,1
440,0,1,1,0,1
441,0,1,1,0,1
442,1,0,0,1,1
443,1,1,1,1,0
444,1,1,1,1,1
445,1,1,0,1,1
446,1,1,1,1,1
447,1,0,0,0,0
448,0,0,0,1,0
449,1,1,0,0,0
450,1,1,1,1,0
451,1,1,1,0,1
452,1,1,1,1,1
453,0,0,0,0,1
454,1,1,1,1,1
455,1,1,1,1,0
456,1,0,0,1,0
457,1,1,1,1,1
458,1,0,0,0,1
459,1,1,0,1,1
460,1,1,1,1,1
461,1,0,1,0,0
462,1,0,0,1,0
463,1,0,1,1,1
464,1,0,1,0,0
465,1,1,0,0,0
466,1,1,1,0,0
467,1,1,1,0,0
468,1,1,0,1,1
469,1,1,1,0,0
470,1,1,1,1,1
471,1,1,0,1,1
472,0,1,0,0,1
473,1,1,1,1,1
474,0,1,0,1,0
475,1,1,0,0,1
476,1,0,0,1,1
477,1,1,1,1,1
478,1,1,1,1,1
479,1,1,1,0,1
480,1,0,0,1,1
481,1,0,0,1,1
482,0,0,0,0,0
483,0,0,0,0,0
484,1,1,0,1,1
485,0,1,1,1,0
486,1,1,1,1,1
487,1,1,0,0,1
488,1,1,1,1,1
489,0,1,0,0,0
490,1,1,0,0,1
491,1,0,1,0,0
492,1,1,1,1,1
493,1,0,0,0,0
494,0,0,0,0,1
495,1,1,1,0,1
496,0,1,0,0,0
497,1,1,1,1,1
498,1,1,1,1,0
499,1,0,0,1,1
