passage,item,M1,M2,M3,M4,M5
0,0,0,1,1,1,1
0,1,1,0,1,1,1
0,2,1,1,0,0,1
0,3,1,0,0,1,0
0,4,1,1,1,0,0
0,5,1,1,1,0,1
0,6,1,1,1,1,1
0,7,0,0,1,1,1
1,8,1,0,1,1,0
1,9,1,1,1,1,0
1,10,1,0,1,1,1
1,11,1,1,1,1,0
1,12,1,1,1,1,1
1,13,0,0,1,1,1
1,14,1,1,1,1,1
1,15,1,1,1,1,1
2,16,0,1,0,0,1
2,17,0,1,1,1,0
2,18,0,1,0,1,1
2,19,0,1,0,0,1
2,20,1,1,0,1,0
2,21,0,1,0,1,1
2,22,0,1,1,1,1
2,23,1,0,0,0,1
3,24,1,1,1,1,1
3,25,1,1,1,1,0
3,26,1,1,1,1,1
3,27,1,1,1,1,1
3,28,1,1,1,1,1
3,29,0,1,0,0,1
3,30,1,1,1,1,1
3,31,1,1,1,1,1
4,32,1,0,1,1,1
4,33,1,1,1,1,0
4,34,1,1,1,1,1
4,35,1,1,1,1,1
4,36,1,1,0,0,0
4,37,1,0,0,1,1
4,38,1,1,1,1,1
4,39,1,1,1,0,0
5,40,1,1,1,1,1
5,41,1,1,1,0,0
5,42,1,1,1,1,0
5,43,1,0,1,0,1
5,44,1,0,1,1,1
5,45,0,1,0,0,1
5,46,1,1,1,1,0
5,47,1,1,1,1,0
6,48,1,1,1,1,0
6,49,1,1,1,1,1
6,50,1,1,0,1,0
6,51,1,1,1,0,1
6,52,1,1,1,1,1
6,53,1,1,1,1,1
6,54,1,1,1,1,1
6,55,1,1,1,1,1
7,56,0,0,1,0,0
7,57,1,1,1,0,0
7,58,0,1,1,0,0
7,59,1,1,0,0,0
7,60,0,0,1,0,0
7,61,0,1,0,0,1
7,62,0,0,0,1,0
7,63,1,1,0,1,0
8,64,1,1,1,1,1
8,65,1,1,1,1,1
8,66,1,1,1,1,1
8,67,1,1,1,1,1
8,68,1,1,1,1,1
8,69,1,1,1,1,1
8,70,1,1,1,1,1
8,71,1,1,1,1,1
9,72,1,1,1,1,1
9,73,1,1,1,1,1
9,74,1,1,1,1,1
9,75,1,1,1,1,1
9,76,1,0,1,0,1
9,77,1,1,1,1,1
9,78,1,1,1,1,1
9,79,1,1,1,1,1
10,80,0,0,1,0,0
10,81,1,0,0,0,0
10,82,0,0,0,0,0
10,83,0,0,0,0,0
10,84,0,0,0,0,0
10,85,1,0,0,0,1
10,86,0,0,0,0,0
10,87,1,0,1,0,0
11,88,0,1,1,1,1
11,89,1,1,1,0,1
11,90,1,1,1,1,1
11,91,1,1,1,0,1
11,92,1,1,1,0,1
11,93,1,1,0,1,1
11,94,1,1,0,1,1
11,95,1,1,1,1,1
12,96,1,1,0,0,0
12,97,1,1,1,0,0
12,98,1,1,1,1,0
12,99,0,1,1,0,0
12,100,1,1,0,1,1
12,101,1,0,0,1,1
12,102,0,0,1,1,0
12,103,1,0,0,0,1
13,104,0,1,1,1,1
13,105,0,0,1,1,1
13,106,1,1,1,1,0
13,107,1,1,1,1,1
13,108,1,0,1,1,1
13,109,0,1,0,1,1
13,110,1,1,1,0,0
13,111,1,1,0,1,1
14,112,0,1,1,1,0
14,113,0,1,1,0,1
14,114,1,1,1,1,0
14,115,1,1,1,1,0
14,116,1,1,1,1,1
14,117,1,0,1,1,1
14,118,1,1,1,0,1
14,119,1,0,0,1,1
15,120,1,0,0,1,0
15,121,0,0,0,0,1
15,122,1,1,1,1,1
15,123,0,0,0,0,1
15,124,1,1,0,1,1
15,125,0,0,0,0,0
15,126,0,1,0,0,1
15,127,0,0,1,0,1
16,128,1,0,1,1,1
16,129,1,1,0,1,1
16,130,1,1,1,1,1
16,131,1,1,1,1,1
16,132,1,1,1,1,1
16,133,1,1,1,0,1
16,134,1,1,1,0,1
16,135,0,1,1,1,0
17,136,1,1,1,1,1
17,137,0,0,1,1,0
17,138,1,1,1,0,1
17,139,1,1,1,1,1
17,140,0,1,1,0,1
17,141,1,1,1,1,0
17,142,0,1,1,1,0
17,143,1,1,1,1,1
18,144,1,1,1,1,1
18,145,1,1,1,1,1
18,146,1,1,1,0,1
18,147,1,1,1,1,1
18,148,1,0,1,1,0
18,149,1,1,1,1,1
18,150,1,1,1,1,1
18,151,0,1,1,0,1
19,152,1,1,1,1,1
19,153,1,1,1,0,1
19,154,1,1,1,1,1
19,155,1,0,1,0,1
19,156,1,1,1,1,0
19,157,0,1,1,0,1
19,158,1,1,1,1,1
19,159,1,0,1,1,0
20,160,1,1,0,1,1
20,161,0,1,1,0,1
20,162,1,1,1,0,1
20,163,1,1,1,1,1
20,164,1,1,1,0,0
20,165,1,1,1,1,0
20,166,1,0,1,1,1
20,167,1,1,1,0,1
21,168,1,1,1,1,1
21,169,1,1,1,1,1
21,170,0,1,0,1,1
21,171,1,0,1,1,1
21,172,0,1,0,1,0
21,173,0,0,0,1,1
21,174,1,1,1,1,1
21,175,1,1,0,1,1
22,176,1,1,1,1,1
22,177,1,1,1,1,1
22,178,1,1,1,1,1
22,179,0,0,1,0,1
22,180,0,1,1,1,1
22,181,1,1,1,1,1
22,182,1,1,1,0,1
22,183,1,0,1,1,1
23,184,1,1,1,1,1
23,185,1,1,0,1,1
23,186,1,1,0,1,0
23,187,1,0,1,1,0
23,188,1,0,1,1,1
23,189,1,1,1,1,1
23,190,1,0,1,1,1
23,191,1,1,1,1,1
24,192,0,0,0,0,0
24,193,0,1,0,0,0
24,194,0,0,0,0,0
24,195,1,1,1,0,0
