passage,question,correct
0,0,1
0,1,1
0,2,1
0,3,0
0,4,1
0,5,1
1,6,1
1,7,0
1,8,0
1,9,0
1,10,0
2,11,1
2,12,1
2,13,0
2,14,0
2,15,0
3,16,0
3,17,1
3,18,1
3,19,1
3,20,0
3,21,0
3,22,0
3,23,1
4,24,1
4,25,1
4,26,1
4,27,1
4,28,1
5,29,1
5,30,1
5,31,0
5,32,1
6,33,0
6,34,0
6,35,1
6,36,1
6,37,1
6,38,1
6,39,0
6,40,0
7,41,0
7,42,1
7,43,1
8,44,1
8,45,1
8,46,0
8,47,0
8,48,0
9,49,0
9,50,1
9,51,1
9,52,0
10,53,0
10,54,1
10,55,1
11,56,1
11,57,1
11,58,1
11,59,1
11,60,1
11,61,1
11,62,1
12,63,1
12,64,1
12,65,0
12,66,0
12,67,0
12,68,0
12,69,1
12,70,0
13,71,1
13,72,1
13,73,1
13,74,1
13,75,0
13,76,0
13,77,0
14,78,0
14,79,1
14,80,0
14,81,1
15,82,1
15,83,1
15,84,1
15,85,1
15,86,1
15,87,1
16,88,1
16,89,0
16,90,1
16,91,1
16,92,1
16,93,1
16,94,1
16,95,1
17,96,1
17,97,1
17,98,1
17,99,1
18,100,1
18,101,1
18,102,1
18,103,1
18,104,0
19,105,1
19,106,1
19,107,1
19,108,1
19,109,1
19,110,1
19,111,1
19,112,0
20,113,1
20,114,0
20,115,1
20,116,0
21,117,0
21,118,0
21,119,0
21,120,0
21,121,0
21,122,0
21,123,0
21,124,0
22,125,1
22,126,1
22,127,1
22,128,1
22,129,1
22,130,1
22,131,1
23,132,1
23,133,1
23,134,0
23,135,1
23,136,1
24,137,1
24,138,1
24,139,1
24,140,1
24,141,1
24,142,1
24,143,1
25,144,1
25,145,1
25,146,0
25,147,1
25,148,1
26,149,1
26,150,1
26,151,1
26,152,1
26,153,1
27,154,1
27,155,1
27,156,1
27,157,0
27,158,1
27,159,1
28,160,1
28,161,1
28,162,0
28,163,1
28,164,1
28,165,0
28,166,0
28,167,0
29,168,1
29,169,0
29,170,0
29,171,0
29,172,0
29,173,0
29,174,0
30,175,0
30,176,1
30,177,0
30,178,0
30,179,1
30,180,1
30,181,1
31,182,0
31,183,1
31,184,0
31,185,1
31,186,1
31,187,1
32,188,1
32,189,1
32,190,1
32,191,1
32,192,0
32,193,1
32,194,1
32,195,1
33,196,1
33,197,0
33,198,1
33,199,0
33,200,0
34,201,1
34,202,1
34,203,1
34,204,1
34,205,0
34,206,1
34,207,0
35,208,1
35,209,1
35,210,1
35,211,0
35,212,0
36,213,1
36,214,1
36,215,1
36,216,1
36,217,1
36,218,1
37,219,1
37,220,1
37,221,1
37,222,1
37,223,1
37,224,1
38,225,0
38,226,0
38,227,0
38,228,0
38,229,0
39,230,1
39,231,0
39,232,1
39,233,1
39,234,0
39,235,1
39,236,0
39,237,0
40,238,1
40,239,1
40,240,1
40,241,1
41,242,1
41,243,1
41,244,1
42,245,0
42,246,1
42,247,1
42,248,1
42,249,1
42,250,0
42,251,0
43,252,1
43,253,1
43,254,1
44,255,1
44,256,1
44,257,1
44,258,1
44,259,1
44,260,1
45,261,1
45,262,1
45,263,1
45,264,1
45,265,1
45,266,1
45,267,1
46,268,1
46,269,0
46,270,1
46,271,0
47,272,0
47,273,0
47,274,0
47,275,0
47,276,0
48,277,1
48,278,1
48,279,0
48,280,1
48,281,1
48,282,1
49,283,1
49,284,1
49,285,1
49,286,1
49,287,1
49,288,1
49,289,1
50,290,1
50,291,1
50,292,1
50,293,1
50,294,1
50,295,1
51,296,1
51,297,0
51,298,0
51,299,1
51,300,0
51,301,0
52,302,1
52,303,1
52,304,1
52,305,1
52,306,0
52,307,1
53,308,1
53,309,1
53,310,0
53,311,1
53,312,1
54,313,0
54,314,0
54,315,0
55,316,0
55,317,0
55,318,0
55,319,1
55,320,1
55,321,1
55,322,1
55,323,1
56,324,0
56,325,0
56,326,0
56,327,0
56,328,0
56,329,0
56,330,0
57,331,1
57,332,0
57,333,1
57,334,1
57,335,1
58,336,1
58,337,1
58,338,1
58,339,1
58,340,0
59,341,1
59,342,0
59,343,1
59,344,1
59,345,1
59,346,1
