item,C,D
0,1,1
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,0,0
9,1,1
10,1,1
11,0,0
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,0,1
23,1,1
24,1,0
25,1,1
26,0,0
27,0,0
28,1,1
29,1,1
30,1,1
31,1,1
32,0,0
33,1,1
34,1,0
35,1,1
36,0,1
37,0,1
38,1,0
39,1,1
40,1,1
41,1,1
42,1,0
43,1,1
44,1,0
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,0,0
52,1,1
53,0,1
54,1,1
55,0,0
56,1,1
57,1,1
58,1,1
59,1,1
60,1,0
61,0,0
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,0
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,0,1
75,1,1
76,1,1
77,0,0
78,1,1
79,1,0
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,0,0
91,0,1
92,1,0
93,0,0
94,1,0
95,1,1
96,1,1
97,1,1
98,1,1
99,1,0
100,1,0
101,1,1
102,1,1
103,1,1
104,1,1
105,0,0
106,1,1
107,0,0
108,1,1
109,1,1
110,0,1
111,0,0
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,0
118,1,1
119,1,1
120,0,0
121,1,1
122,0,0
123,0,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,0,0
130,1,1
131,1,0
132,1,1
133,0,0
134,1,1
135,1,1
136,1,0
137,1,0
138,1,1
139,0,1
140,1,1
141,0,0
142,1,1
143,1,1
144,1,0
145,1,1
146,0,0
147,1,1
148,1,1
149,1,1
150,1,1
151,1,1
152,1,1
153,0,0
154,1,1
155,1,1
156,1,1
157,1,1
158,0,0
159,1,1
160,1,0
161,1,1
162,1,1
163,1,1
164,1,1
165,0,0
166,1,1
167,1,0
168,0,1
169,1,1
170,0,0
171,0,0
172,1,1
173,0,0
174,1,0
175,1,1
176,1,0
177,1,1
178,1,1
179,1,1
180,1,1
181,1,1
182,0,1
183,1,1
184,1,1
185,0,0
186,1,1
187,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
193,1,1
194,1,1
195,1,1
196,0,0
197,1,1
198,1,1
199,1,1
200,1,1
201,1,1
202,0,0
203,1,1
204,1,1
205,1,0
206,0,1
207,1,1
208,1,1
209,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,0,0
215,1,1
216,1,1
217,0,1
218,1,0
219,0,0
220,1,0
221,0,1
222,1,1
223,1,1
224,1,0
225,1,1
226,1,1
227,1,1
228,1,1
229,1,1
230,1,1
231,1,1
232,0,0
233,1,1
234,1,1
235,1,1
236,1,0
237,1,1
238,1,1
239,1,1
240,1,1
241,1,1
242,1,1
243,1,0
244,1,1
245,1,1
246,1,1
247,0,0
248,0,1
249,1,1
250,1,1
251,1,1
252,1,0
253,1,1
254,1,1
255,1,1
256,1,1
257,0,1
258,1,1
259,1,1
260,0,1
261,1,1
262,0,1
263,1,1
264,1,1
265,1,1
266,1,1
267,1,1
268,1,1
269,0,0
270,1,1
271,1,0
272,1,1
273,1,1
274,1,1
275,0,0
276,0,0
277,1,1
278,1,1
279,1,1
280,1,1
281,0,0
282,1,1
283,0,0
284,0,0
285,1,1
286,1,1
287,1,1
288,0,0
289,1,0
290,1,1
291,0,1
292,1,1
293,1,1
294,1,0
295,1,1
296,1,1
297,1,1
298,1,1
299,0,1
300,1,1
301,0,0
302,1,1
303,1,1
304,1,0
305,0,1
306,1,1
307,1,1
308,1,1
309,0,1
310,1,1
311,1,1
312,0,0
313,1,1
314,1,1
315,1,1
316,1,1
317,1,1
318,1,1
319,1,1
320,0,1
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
326,1,1
327,1,1
328,1,1
329,1,0
330,1,1
331,0,0
332,1,1
333,1,0
334,0,0
335,1,1
336,1,0
337,0,1
338,1,1
339,1,1
340,1,1
341,0,0
342,0,0
343,0,1
344,0,1
345,1,1
346,0,0
347,1,1
348,0,0
349,0,0
350,1,1
351,1,1
352,1,1
353,1,1
354,0,0
355,1,0
356,1,1
357,1,1
358,1,1
359,1,1
360,1,1
361,1,0
362,1,1
363,1,1
364,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,0
370,1,1
371,1,1
372,1,1
373,0,1
374,1,1
375,1,1
376,0,0
377,1,1
378,1,1
379,1,1
380,1,1
381,1,1
382,1,1
383,1,1
384,1,1
385,1,1
386,1,1
387,1,1
388,0,0
389,1,1
390,1,1
391,1,1
392,1,1
393,1,0
394,1,1
395,0,1
396,0,1
397,1,1
398,0,0
399,0,0
400,1,1
401,1,1
402,0,0
403,1,1
404,1,1
405,1,1
406,1,1
407,1,1
408,0,0
409,1,1
410,1,1
411,1,1
412,1,1
413,1,1
414,1,1
415,1,1
416,1,0
417,1,1
418,1,1
419,1,1
420,1,1
421,1,0
422,1,1
423,1,1
424,1,1
425,0,0
426,0,1
427,1,1
428,1,1
429,0,1
430,1,1
431,0,0
432,1,1
433,0,0
434,1,1
435,1,1
436,1,1
437,1,1
438,1,1
439,1,1
440,1,1
441,1,1
442,1,1
443,0,0
444,0,0
445,1,0
446,1,1
447,1,1
448,1,1
449,0,0
450,0,0
451,1,0
452,1,1
453,1,1
454,0,1
455,0,1
456,1,1
457,0,0
458,1,1
459,1,1
460,1,1
461,0,1
462,1,1
463,1,1
464,1,1
465,1,1
466,0,1
467,1,1
468,1,0
469,1,1
470,1,1
471,1,0
472,0,0
473,1,1
474,1,1
475,1,1
476,1,1
477,1,1
478,0,1
479,1,1
480,1,1
481,1,1
482,1,1
483,0,0
484,1,1
485,1,1
486,1,0
487,0,0
488,1,1
489,0,0
490,1,1
491,1,0
492,1,1
493,1,1
494,1,1
495,1,1
496,1,1
497,0,0
498,1,1
499,1,1
500,1,1
501,0,0
502,1,1
503,0,0
504,1,1
505,1,1
506,1,1
507,1,0
508,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,0,1
514,0,1
515,1,1
516,1,1
517,1,1
518,1,1
519,1,1
520,1,1
521,0,0
522,0,0
523,1,1
524,1,1
525,1,1
526,1,1
527,1,1
528,1,1
529,1,1
530,1,1
531,0,1
532,0,0
533,1,1
534,0,0
535,1,1
536,0,0
537,1,1
538,1,1
539,1,1
540,1,0
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,1
548,1,1
549,0,0
550,1,1
551,1,1
552,1,1
553,1,1
554,1,1
555,0,0
556,1,1
557,1,1
558,1,1
559,1,1
560,0,0
561,0,1
562,1,1
563,1,0
564,1,1
565,1,1
566,1,1
567,0,0
568,1,1
569,0,0
570,1,1
571,0,1
572,1,1
573,1,1
574,0,1
575,1,1
576,0,0
577,1,1
578,0,1
579,1,1
580,1,1
581,1,1
582,0,0
583,1,1
584,1,0
585,1,0
586,1,1
587,1,1
588,1,1
589,1,0
590,1,1
591,0,1
592,0,1
593,1,1
594,1,1
595,1,1
596,0,0
597,1,1
598,0,0
599,1,1
600,1,1
601,1,1
602,1,1
603,1,1
604,1,1
605,1,1
606,1,1
607,0,0
608,1,1
609,1,1
610,1,1
611,1,0
612,1,1
613,1,1
614,1,1
615,1,1
616,1,1
617,1,0
618,1,1
619,1,1
620,1,1
621,1,1
622,1,1
623,0,1
624,1,1
625,1,1
626,1,1
627,1,1
628,1,1
629,1,1
630,1,1
631,1,0
632,1,0
633,1,1
634,1,0
635,0,0
636,0,0
637,1,1
638,0,0
639,1,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,1
645,0,0
646,0,0
647,1,1
648,1,1
649,1,1
650,1,0
651,1,1
652,1,1
653,1,1
654,1,1
655,1,1
656,1,1
657,1,1
658,1,1
659,1,1
660,1,1
661,0,1
662,0,1
663,1,1
664,1,1
665,1,1
666,1,1
667,1,1
668,0,0
669,0,0
670,1,1
671,1,0
672,1,0
673,1,1
674,1,1
675,0,0
676,1,0
677,1,1
678,1,1
679,1,1
680,1,1
681,1,1
682,1,1
683,1,1
684,1,1
685,1,1
686,0,1
687,1,1
688,1,1
689,1,0
690,1,1
691,1,1
692,1,0
693,0,1
694,1,1
695,1,1
696,1,0
697,0,0
698,1,1
699,1,1
700,0,0
701,0,1
702,1,1
703,0,0
704,0,1
705,1,1
706,0,1
707,1,1
708,1,1
709,0,0
710,1,1
711,1,1
712,0,0
713,1,1
714,1,1
715,1,1
716,1,1
717,1,1
718,1,1
719,1,1
720,1,0
721,1,0
722,1,1
723,1,1
724,1,1
725,1,1
726,1,1
727,1,1
728,1,1
729,1,1
730,0,1
731,1,1
732,1,1
733,1,1
734,1,1
735,1,1
736,1,1
737,1,1
738,1,1
739,1,1
740,1,1
741,1,1
742,1,1
743,1,1
744,0,0
745,0,1
746,0,0
747,1,1
748,1,0
749,1,0
750,1,1
751,1,0
752,1,1
753,1,1
754,1,1
755,1,1
756,1,0
757,0,0
758,1,1
759,1,1
760,1,1
761,1,1
762,1,1
763,1,1
764,0,0
765,1,1
766,0,0
767,1,1
768,1,1
769,1,1
770,1,0
771,0,1
772,1,1
773,1,1
774,1,1
775,0,0
776,1,1
777,1,1
778,1,1
779,1,1
780,1,1
781,1,1
782,1,0
783,0,1
784,1,1
785,1,1
786,0,0
787,1,1
788,1,1
789,1,1
790,0,1
791,1,1
792,1,1
793,1,0
794,1,1
795,1,1
796,1,1
797,1,1
798,1,1
799,1,1
800,1,1
801,1,1
802,0,0
803,1,1
804,1,0
805,1,1
806,0,0
807,1,1
808,1,0
809,1,1
810,0,0
811,0,0
812,1,1
813,1,1
814,1,1
815,1,1
816,1,1
817,0,1
818,1,0
819,0,0
820,0,1
821,1,1
822,1,1
823,1,1
824,1,1
825,0,1
826,1,1
827,1,1
828,1,1
829,1,1
830,1,1
831,1,1
832,1,1
833,1,1
834,0,0
835,1,0
836,0,0
837,1,0
838,1,1
839,1,1
840,1,1
841,1,1
842,0,0
843,0,0
844,1,1
845,0,0
846,1,1
847,0,0
848,1,1
849,1,1
850,1,1
851,1,1
852,1,1
853,0,0
854,0,1
855,1,1
856,1,1
857,1,1
858,1,1
859,1,1
860,1,1
861,1,0
862,0,0
863,0,1
864,1,1
865,1,1
866,0,0
867,1,1
868,1,0
869,1,1
870,1,1
871,1,1
872,1,1
873,0,0
874,1,1
875,1,1
876,0,0
877,1,1
878,0,0
879,1,1
880,1,0
881,1,1
882,1,1
883,1,1
884,1,1
885,1,0
886,1,1
887,1,1
888,0,0
889,1,0
890,1,1
891,1,1
892,1,1
893,1,1
894,1,1
895,1,1
896,1,1
897,1,1
898,1,1
899,1,1
900,0,0
901,1,1
902,1,1
903,1,1
904,0,1
905,1,0
906,1,1
907,1,1
908,1,1
909,0,0
910,1,1
911,1,0
912,0,1
913,1,1
914,1,1
915,1,1
916,1,1
917,1,1
918,0,1
919,1,1
920,1,0
921,1,1
922,1,1
923,1,1
924,1,1
925,0,0
926,0,1
927,0,1
928,1,1
929,1,1
930,1,1
931,1,0
932,0,1
933,1,1
934,1,1
935,1,1
936,1,1
937,1,1
938,1,1
939,1,1
940,0,1
941,1,1
942,1,1
943,1,1
944,1,1
945,1,1
946,0,0
947,1,1
948,1,1
949,1,1
950,1,1
951,1,0
952,1,1
953,1,1
954,0,1
955,1,1
956,1,1
957,1,1
958,1,1
959,1,1
960,1,1
961,1,1
962,0,0
963,1,0
964,1,1
965,1,1
966,1,0
967,1,1
968,1,1
969,1,1
970,1,1
971,1,1
972,1,1
973,1,1
974,0,0
975,1,1
976,1,1
977,0,0
978,0,0
979,1,1
980,1,1
981,1,1
982,1,1
983,1,1
984,1,1
985,0,1
986,1,1
987,1,1
988,1,1
989,1,1
990,1,1
991,1,1
992,1,0
993,1,1
994,1,1
995,0,0
996,1,0
997,0,0
998,1,1
999,1,0
1000,0,1
1001,1,1
1002,0,0
1003,1,1
1004,1,1
1005,0,0
1006,1,1
1007,1,1
1008,1,1
1009,0,0
1010,1,1
1011,0,0
1012,0,1
1013,1,1
1014,0,1
1015,1,1
1016,1,1
1017,1,0
1018,1,1
1019,1,1
1020,1,1
1021,1,1
1022,1,1
1023,1,1
1024,0,1
1025,0,0
1026,1,0
1027,1,1
1028,0,1
1029,1,1
1030,0,0
1031,1,1
1032,1,1
1033,1,1
1034,0,0
1035,0,0
1036,1,1
1037,1,1
1038,1,1
1039,0,1
1040,0,1
1041,1,0
1042,1,1
1043,1,1
1044,1,1
1045,1,1
1046,1,1
1047,1,1
1048,1,1
1049,0,0
1050,1,1
1051,0,0
1052,1,1
1053,1,1
1054,1,1
1055,1,1
1056,0,0
1057,0,0
1058,1,1
1059,1,1
1060,1,1
1061,1,1
1062,1,1
1063,0,0
1064,1,1
1065,1,1
1066,1,1
1067,1,1
1068,1,1
1069,0,0
1070,1,1
1071,1,0
1072,0,0
1073,0,0
1074,1,1
1075,1,1
1076,1,1
1077,1,1
1078,1,1
1079,0,0
1080,1,1
1081,1,1
1082,1,0
1083,0,0
1084,1,1
1085,0,1
1086,1,1
1087,1,1
1088,1,1
1089,1,1
1090,0,1
1091,1,1
1092,1,1
1093,1,1
1094,1,1
1095,1,1
1096,0,1
1097,1,1
1098,1,1
1099,1,1
1100,0,1
1101,1,0
1102,1,1
1103,1,1
1104,1,0
1105,1,1
1106,1,1
1107,1,1
1108,1,1
1109,0,0
1110,1,0
1111,1,1
1112,0,0
1113,1,1
1114,1,1
1115,0,0
1116,0,1
1117,1,1
1118,1,1
1119,1,1
1120,1,1
1121,1,1
1122,1,1
1123,1,1
1124,1,0
1125,1,0
1126,1,1
1127,0,0
1128,1,1
1129,1,1
1130,1,1
1131,1,1
1132,0,0
1133,1,1
1134,0,0
1135,0,0
1136,1,1
1137,1,1
1138,0,0
1139,1,0
1140,1,1
1141,1,1
1142,1,1
1143,1,1
1144,0,0
1145,1,1
1146,0,1
1147,1,1
1148,1,1
1149,1,1
1150,1,1
1151,0,0
1152,1,1
1153,1,1
1154,0,1
1155,1,1
1156,1,1
1157,1,1
1158,1,0
1159,1,1
1160,1,1
1161,1,1
1162,1,1
1163,1,0
1164,1,1
1165,0,1
1166,0,0
1167,1,1
1168,1,1
1169,1,1
1170,1,1
1171,1,1
1172,0,0
1173,1,1
1174,1,1
1175,0,0
1176,1,0
1177,1,1
1178,1,1
1179,1,1
1180,1,1
1181,1,1
1182,1,1
1183,0,1
1184,1,0
1185,1,1
1186,1,1
1187,1,1
1188,1,1
1189,1,0
1190,1,1
1191,1,1
1192,1,1
1193,1,1
1194,0,0
1195,0,0
1196,0,0
1197,0,0
1198,1,1
1199,1,1
1200,0,0
1201,1,1
1202,1,1
1203,1,1
1204,1,1
1205,1,1
1206,1,1
1207,1,1
1208,1,0
1209,1,1
1210,1,1
1211,1,1
1212,1,1
1213,1,1
1214,1,1
1215,1,1
1216,1,1
1217,1,1
1218,1,1
1219,1,0
1220,1,1
1221,1,1
1222,1,1
1223,0,1
1224,0,0
1225,1,1
1226,1,1
1227,1,0
1228,0,0
1229,1,1
1230,1,1
1231,1,1
1232,1,1
1233,1,1
1234,1,1
1235,1,1
1236,1,1
1237,1,1
1238,1,1
1239,1,1
1240,1,1
1241,1,1
1242,1,1
1243,1,1
1244,1,1
1245,1,1
1246,1,1
1247,0,0
1248,1,1
1249,1,1
1250,0,0
1251,1,1
1252,1,0
1253,1,1
1254,1,1
1255,1,1
1256,1,0
1257,1,1
1258,1,1
1259,1,1
1260,0,0
1261,0,0
1262,0,1
1263,0,0
1264,1,1
1265,0,0
1266,0,0
1267,1,1
1268,1,1
1269,0,0
1270,1,1
1271,1,1
1272,1,0
1273,1,1
1274,0,1
1275,0,0
1276,1,1
1277,0,0
1278,1,1
1279,1,1
1280,1,1
1281,1,1
1282,1,1
1283,1,1
1284,1,1
1285,0,0
1286,1,0
1287,1,1
1288,1,1
1289,1,1
1290,1,1
1291,1,1
1292,1,1
1293,1,1
1294,1,1
1295,1,1
1296,1,0
1297,1,1
1298,1,1
1299,1,1
1300,1,1
1301,1,1
1302,1,0
1303,1,1
1304,1,0
1305,0,0
1306,1,1
1307,0,1
1308,1,0
1309,1,1
1310,1,1
1311,1,0
1312,1,0
1313,1,1
1314,1,1
1315,0,0
1316,0,0
1317,0,0
1318,0,0
