item,model,sample,pass
0,A,0,1
0,A,1,1
0,A,2,1
0,A,3,0
0,A,4,0
0,A,5,1
0,A,6,1
0,A,7,0
0,A,8,1
0,A,9,0
0,A,10,0
0,A,11,1
0,A,12,0
0,A,13,0
0,A,14,1
0,A,15,1
0,A,16,1
0,A,17,1
0,A,18,1
0,A,19,1
1,A,0,0
1,A,1,0
1,A,2,0
1,A,3,1
1,A,4,0
1,A,5,0
1,A,6,0
1,A,7,0
1,A,8,0
1,A,9,0
1,A,10,0
1,A,11,0
1,A,12,0
1,A,13,0
1,A,14,0
1,A,15,0
1,A,16,1
1,A,17,0
1,A,18,0
1,A,19,0
2,A,0,1
2,A,1,1
2,A,2,1
2,A,3,1
2,A,4,1
2,A,5,1
2,A,6,1
2,A,7,1
2,A,8,1
2,A,9,1
2,A,10,1
2,A,11,1
2,A,12,1
2,A,13,1
2,A,14,1
2,A,15,1
2,A,16,1
2,A,17,1
2,A,18,1
2,A,19,1
3,A,0,0
3,A,1,0
3,A,2,1
3,A,3,1
3,A,4,1
3,A,5,1
3,A,6,0
3,A,7,1
3,A,8,0
3,A,9,1
3,A,10,1
3,A,11,1
3,A,12,1
3,A,13,1
3,A,14,1
3,A,15,0
3,A,16,0
3,A,17,1
3,A,18,1
3,A,19,1
4,A,0,0
4,A,1,0
4,A,2,0
4,A,3,0
4,A,4,0
4,A,5,0
4,A,6,0
4,A,7,0
4,A,8,0
4,A,9,0
4,A,10,0
4,A,11,0
4,A,12,0
4,A,13,0
4,A,14,0
4,A,15,0
4,A,16,0
4,A,17,0
4,A,18,0
4,A,19,0
5,A,0,1
5,A,1,1
5,A,2,1
5,A,3,0
5,A,4,1
5,A,5,1
5,A,6,1
5,A,7,1
5,A,8,1
5,A,9,1
5,A,10,0
5,A,11,0
5,A,12,1
5,A,13,0
5,A,14,1
5,A,15,1
5,A,16,1
5,A,17,1
5,A,18,1
5,A,19,1
6,A,0,1
6,A,1,1
6,A,2,1
6,A,3,1
6,A,4,1
6,A,5,1
6,A,6,1
6,A,7,1
6,A,8,1
6,A,9,1
6,A,10,1
6,A,11,1
6,A,12,1
6,A,13,1
6,A,14,1
6,A,15,1
6,A,16,1
6,A,17,1
6,A,18,1
6,A,19,1
7,A,0,0
7,A,1,1
7,A,2,1
7,A,3,1
7,A,4,1
7,A,5,1
7,A,6,0
7,A,7,0
7,A,8,0
7,A,9,0
7,A,10,1
7,A,11,0
7,A,12,0
7,A,13,1
7,A,14,0
7,A,15,1
7,A,16,1
7,A,17,1
7,A,18,0
7,A,19,1
8,A,0,0
8,A,1,0
8,A,2,0
8,A,3,0
8,A,4,1
8,A,5,1
8,A,6,1
8,A,7,0
8,A,8,1
8,A,9,1
8,A,10,0
8,A,11,0
8,A,12,0
8,A,13,1
8,A,14,1
8,A,15,0
8,A,16,0
8,A,17,0
8,A,18,1
8,A,19,1
9,A,0,0
9,A,1,1
9,A,2,0
9,A,3,0
9,A,4,1
9,A,5,0
9,A,6,0
9,A,7,0
9,A,8,0
9,A,9,1
9,A,10,1
9,A,11,0
9,A,12,1
9,A,13,1
9,A,14,1
9,A,15,1
9,A,16,1
9,A,17,0
9,A,18,1
9,A,19,0
10,A,0,1
10,A,1,1
10,A,2,1
10,A,3,1
10,A,4,1
10,A,5,1
10,A,6,1
10,A,7,1
10,A,8,1
10,A,9,1
10,A,10,1
10,A,11,1
10,A,12,0
10,A,13,1
10,A,14,1
10,A,15,1
10,A,16,1
10,A,17,1
10,A,18,1
10,A,19,1
11,A,0,0
11,A,1,1
11,A,2,0
11,A,3,0
11,A,4,1
11,A,5,1
11,A,6,0
11,A,7,1
11,A,8,0
11,A,9,0
11,A,10,1
11,A,11,0
11,A,12,0
11,A,13,1
11,A,14,0
11,A,15,1
11,A,16,1
11,A,17,1
11,A,18,0
11,A,19,1
12,A,0,1
12,A,1,1
12,A,2,1
12,A,3,1
12,A,4,0
12,A,5,1
12,A,6,1
12,A,7,1
12,A,8,0
12,A,9,0
12,A,10,1
12,A,11,1
12,A,12,1
12,A,13,0
12,A,14,1
12,A,15,0
12,A,16,1
12,A,17,1
12,A,18,1
12,A,19,1
13,A,0,1
13,A,1,1
13,A,2,0
13,A,3,1
13,A,4,1
13,A,5,1
13,A,6,1
13,A,7,1
13,A,8,0
13,A,9,1
13,A,10,1
13,A,11,0
13,A,12,1
13,A,13,1
13,A,14,1
13,A,15,1
13,A,16,1
13,A,17,1
13,A,18,1
13,A,19,1
14,A,0,1
14,A,1,0
14,A,2,0
14,A,3,1
14,A,4,1
14,A,5,0
14,A,6,0
14,A,7,0
14,A,8,1
14,A,9,1
14,A,10,1
14,A,11,1
14,A,12,1
14,A,13,1
14,A,14,1
14,A,15,0
14,A,16,1
14,A,17,1
14,A,18,1
14,A,19,1
15,A,0,1
15,A,1,1
15,A,2,1
15,A,3,1
15,A,4,1
15,A,5,1
15,A,6,1
15,A,7,1
15,A,8,1
15,A,9,1
15,A,10,1
15,A,11,1
15,A,12,1
15,A,13,1
15,A,14,1
15,A,15,1
15,A,16,1
15,A,17,1
15,A,18,1
15,A,19,1
16,A,0,1
16,A,1,1
16,A,2,1
16,A,3,1
16,A,4,1
16,A,5,1
16,A,6,1
16,A,7,1
16,A,8,1
16,A,9,0
16,A,10,1
16,A,11,1
16,A,12,1
16,A,13,1
16,A,14,1
16,A,15,1
16,A,16,1
16,A,17,0
16,A,18,1
16,A,19,1
17,A,0,1
17,A,1,1
17,A,2,1
17,A,3,1
17,A,4,1
17,A,5,1
17,A,6,1
17,A,7,1
17,A,8,1
17,A,9,1
17,A,10,1
17,A,11,1
17,A,12,1
17,A,13,1
17,A,14,1
17,A,15,1
17,A,16,1
17,A,17,1
17,A,18,1
17,A,19,1
18,A,0,1
18,A,1,1
18,A,2,1
18,A,3,1
18,A,4,1
18,A,5,1
18,A,6,1
18,A,7,1
18,A,8,1
18,A,9,1
18,A,10,1
18,A,11,1
18,A,12,1
18,A,13,1
18,A,14,1
18,A,15,1
18,A,16,1
18,A,17,1
18,A,18,1
18,A,19,0
19,A,0,0
19,A,1,1
19,A,2,0
19,A,3,0
19,A,4,0
19,A,5,1
19,A,6,0
19,A,7,0
19,A,8,0
19,A,9,0
19,A,10,0
19,A,11,0
19,A,12,0
19,A,13,0
19,A,14,0
19,A,15,0
19,A,16,0
19,A,17,0
19,A,18,0
19,A,19,0
20,A,0,1
20,A,1,0
20,A,2,1
20,A,3,1
20,A,4,0
20,A,5,0
20,A,6,0
20,A,7,1
20,A,8,0
20,A,9,0
20,A,10,1
20,A,11,0
20,A,12,0
20,A,13,1
20,A,14,0
20,A,15,1
20,A,16,1
20,A,17,0
20,A,18,0
20,A,19,1
21,A,0,1
21,A,1,1
21,A,2,1
21,A,3,1
21,A,4,1
21,A,5,1
21,A,6,1
21,A,7,1
21,A,8,1
21,A,9,1
21,A,10,1
21,A,11,1
21,A,12,1
21,A,13,1
21,A,14,1
21,A,15,1
21,A,16,1
21,A,17,0
21,A,18,0
21,A,19,1
22,A,0,0
22,A,1,0
22,A,2,1
22,A,3,1
22,A,4,1
22,A,5,1
22,A,6,0
22,A,7,1
22,A,8,1
22,A,9,1
22,A,10,1
22,A,11,1
22,A,12,0
22,A,13,1
22,A,14,1
22,A,15,1
22,A,16,1
22,A,17,1
22,A,18,1
22,A,19,1
23,A,0,1
23,A,1,1
23,A,2,1
23,A,3,1
23,A,4,1
23,A,5,1
23,A,6,1
23,A,7,1
23,A,8,1
23,A,9,1
23,A,10,1
23,A,11,1
23,A,12,1
23,A,13,1
23,A,14,1
23,A,15,1
23,A,16,1
23,A,17,1
23,A,18,1
23,A,19,1
24,A,0,1
24,A,1,1
24,A,2,1
24,A,3,1
24,A,4,1
24,A,5,1
24,A,6,1
24,A,7,1
24,A,8,1
24,A,9,1
24,A,10,1
24,A,11,1
24,A,12,1
24,A,13,1
24,A,14,1
24,A,15,0
24,A,16,1
24,A,17,1
24,A,18,1
24,A,19,1
25,A,0,1
25,A,1,1
25,A,2,1
25,A,3,1
25,A,4,1
25,A,5,1
25,A,6,1
25,A,7,1
25,A,8,1
25,A,9,1
25,A,10,1
25,A,11,1
25,A,12,1
25,A,13,1
25,A,14,1
25,A,15,1
25,A,16,1
25,A,17,1
25,A,18,0
25,A,19,1
26,A,0,1
26,A,1,1
26,A,2,1
26,A,3,1
26,A,4,1
26,A,5,1
26,A,6,0
26,A,7,1
26,A,8,0
26,A,9,1
26,A,10,0
26,A,11,0
26,A,12,1
26,A,13,0
26,A,14,1
26,A,15,1
26,A,16,0
26,A,17,1
26,A,18,1
26,A,19,1
27,A,0,0
27,A,1,1
27,A,2,0
27,A,3,0
27,A,4,0
27,A,5,1
27,A,6,0
27,A,7,1
27,A,8,1
27,A,9,1
27,A,10,1
27,A,11,1
27,A,12,0
27,A,13,0
27,A,14,1
27,A,15,0
27,A,16,0
27,A,17,1
27,A,18,1
27,A,19,1
28,A,0,1
28,A,1,1
28,A,2,0
28,A,3,0
28,A,4,0
28,A,5,0
28,A,6,1
28,A,7,0
28,A,8,0
28,A,9,0
28,A,10,1
28,A,11,0
28,A,12,1
28,A,13,0
28,A,14,0
28,A,15,0
28,A,16,0
28,A,17,0
28,A,18,0
28,A,19,0
29,A,0,0
29,A,1,0
29,A,2,0
29,A,3,0
29,A,4,1
29,A,5,1
29,A,6,1
29,A,7,1
29,A,8,1
29,A,9,0
29,A,10,0
29,A,11,0
29,A,12,0
29,A,13,0
29,A,14,0
29,A,15,0
29,A,16,0
29,A,17,0
29,A,18,0
29,A,19,1
30,A,0,1
30,A,1,0
30,A,2,1
30,A,3,0
30,A,4,1
30,A,5,1
30,A,6,1
30,A,7,1
30,A,8,0
30,A,9,0
30,A,10,1
30,A,11,1
30,A,12,1
30,A,13,1
30,A,14,1
30,A,15,1
30,A,16,1
30,A,17,1
30,A,18,0
30,A,19,1
31,A,0,0
31,A,1,0
31,A,2,1
31,A,3,1
31,A,4,0
31,A,5,0
31,A,6,1
31,A,7,1
31,A,8,0
31,A,9,1
31,A,10,1
31,A,11,1
31,A,12,1
31,A,13,0
31,A,14,0
31,A,15,0
31,A,16,0
31,A,17,1
31,A,18,0
31,A,19,0
32,A,0,1
32,A,1,1
32,A,2,1
32,A,3,1
32,A,4,1
32,A,5,0
32,A,6,1
32,A,7,1
32,A,8,1
32,A,9,1
32,A,10,1
32,A,11,1
32,A,12,1
32,A,13,0
32,A,14,1
32,A,15,1
32,A,16,1
32,A,17,1
32,A,18,1
32,A,19,1
33,A,0,1
33,A,1,1
33,A,2,1
33,A,3,1
33,A,4,1
33,A,5,1
33,A,6,1
33,A,7,1
33,A,8,1
33,A,9,1
33,A,10,1
33,A,11,1
33,A,12,1
33,A,13,1
33,A,14,1
33,A,15,1
33,A,16,1
33,A,17,1
33,A,18,1
33,A,19,1
34,A,0,1
34,A,1,0
34,A,2,0
34,A,3,0
34,A,4,0
34,A,5,1
34,A,6,1
34,A,7,1
34,A,8,0
34,A,9,1
34,A,10,0
34,A,11,0
34,A,12,0
34,A,13,1
34,A,14,0
34,A,15,0
34,A,16,0
34,A,17,0
34,A,18,0
34,A,19,0
35,A,0,1
35,A,1,1
35,A,2,1
35,A,3,1
35,A,4,0
35,A,5,1
35,A,6,1
35,A,7,1
35,A,8,1
35,A,9,1
35,A,10,1
35,A,11,1
35,A,12,1
35,A,13,1
35,A,14,1
35,A,15,1
35,A,16,1
35,A,17,1
35,A,18,1
35,A,19,1
36,A,0,1
36,A,1,0
36,A,2,1
36,A,3,1
36,A,4,0
36,A,5,0
36,A,6,0
36,A,7,0
36,A,8,0
36,A,9,0
36,A,10,1
36,A,11,0
36,A,12,0
36,A,13,1
36,A,14,0
36,A,15,1
36,A,16,1
36,A,17,1
36,A,18,0
36,A,19,1
37,A,0,1
37,A,1,1
37,A,2,1
37,A,3,1
37,A,4,1
37,A,5,1
37,A,6,1
37,A,7,1
37,A,8,1
37,A,9,1
37,A,10,0
37,A,11,0
37,A,12,1
37,A,13,1
37,A,14,1
37,A,15,1
37,A,16,0
37,A,17,1
37,A,18,1
37,A,19,1
38,A,0,1
38,A,1,0
38,A,2,1
38,A,3,0
38,A,4,0
38,A,5,0
38,A,6,1
38,A,7,0
38,A,8,0
38,A,9,0
38,A,10,1
38,A,11,0
38,A,12,1
38,A,13,0
38,A,14,0
38,A,15,1
38,A,16,0
38,A,17,0
38,A,18,1
38,A,19,0
39,A,0,0
39,A,1,0
39,A,2,1
39,A,3,1
39,A,4,1
39,A,5,1
39,A,6,0
39,A,7,0
39,A,8,0
39,A,9,0
39,A,10,0
39,A,11,1
39,A,12,0
39,A,13,1
39,A,14,1
39,A,15,1
39,A,16,1
39,A,17,0
39,A,18,1
39,A,19,0
40,A,0,1
40,A,1,1
40,A,2,1
40,A,3,1
40,A,4,0
40,A,5,0
40,A,6,0
40,A,7,1
40,A,8,0
40,A,9,0
40,A,10,1
40,A,11,0
40,A,12,0
40,A,13,0
40,A,14,1
40,A,15,1
40,A,16,0
40,A,17,1
40,A,18,1
40,A,19,1
41,A,0,1
41,A,1,1
41,A,2,1
41,A,3,1
41,A,4,1
41,A,5,1
41,A,6,1
41,A,7,1
41,A,8,1
41,A,9,1
41,A,10,1
41,A,11,1
41,A,12,1
41,A,13,0
41,A,14,0
41,A,15,1
41,A,16,1
41,A,17,1
41,A,18,1
41,A,19,0
42,A,0,1
42,A,1,1
42,A,2,1
42,A,3,1
42,A,4,1
42,A,5,0
42,A,6,1
42,A,7,1
42,A,8,1
42,A,9,1
42,A,10,1
42,A,11,1
42,A,12,1
42,A,13,1
42,A,14,0
42,A,15,1
42,A,16,0
42,A,17,1
42,A,18,1
42,A,19,1
43,A,0,1
43,A,1,1
43,A,2,1
43,A,3,1
43,A,4,1
43,A,5,1
43,A,6,1
43,A,7,1
43,A,8,1
43,A,9,1
43,A,10,1
43,A,11,1
43,A,12,1
43,A,13,1
43,A,14,1
43,A,15,1
43,A,16,1
43,A,17,1
43,A,18,1
43,A,19,1
44,A,0,1
44,A,1,1
44,A,2,1
44,A,3,1
44,A,4,1
44,A,5,1
44,A,6,1
44,A,7,1
44,A,8,1
44,A,9,1
44,A,10,1
44,A,11,1
44,A,12,0
44,A,13,1
44,A,14,1
44,A,15,1
44,A,16,1
44,A,17,1
44,A,18,1
44,A,19,1
45,A,0,1
45,A,1,1
45,A,2,1
45,A,3,0
45,A,4,1
45,A,5,1
45,A,6,0
45,A,7,1
45,A,8,1
45,A,9,1
45,A,10,1
45,A,11,0
45,A,12,1
45,A,13,1
45,A,14,1
45,A,15,0
45,A,16,1
45,A,17,0
45,A,18,1
45,A,19,1
46,A,0,1
46,A,1,1
46,A,2,1
46,A,3,1
46,A,4,0
46,A,5,1
46,A,6,1
46,A,7,1
46,A,8,1
46,A,9,1
46,A,10,0
46,A,11,1
46,A,12,1
46,A,13,1
46,A,14,1
46,A,15,1
46,A,16,1
46,A,17,1
46,A,18,1
46,A,19,1
47,A,0,1
47,A,1,1
47,A,2,1
47,A,3,1
47,A,4,1
47,A,5,1
47,A,6,1
47,A,7,1
47,A,8,1
47,A,9,1
47,A,10,1
47,A,11,1
47,A,12,1
47,A,13,1
47,A,14,1
47,A,15,1
47,A,16,1
47,A,17,1
47,A,18,1
47,A,19,1
48,A,0,1
48,A,1,0
48,A,2,1
48,A,3,1
48,A,4,1
48,A,5,1
48,A,6,1
48,A,7,1
48,A,8,0
48,A,9,0
48,A,10,1
48,A,11,1
48,A,12,0
48,A,13,0
48,A,14,1
48,A,15,1
48,A,16,0
48,A,17,1
48,A,18,1
48,A,19,0
49,A,0,1
49,A,1,0
49,A,2,1
49,A,3,0
49,A,4,0
49,A,5,0
49,A,6,0
49,A,7,0
49,A,8,1
49,A,9,1
49,A,10,0
49,A,11,0
49,A,12,0
49,A,13,0
49,A,14,0
49,A,15,0
49,A,16,0
49,A,17,0
49,A,18,0
49,A,19,0
50,A,0,1
50,A,1,1
50,A,2,1
50,A,3,1
50,A,4,0
50,A,5,1
50,A,6,0
50,A,7,1
50,A,8,1
50,A,9,1
50,A,10,1
50,A,11,1
50,A,12,0
50,A,13,1
50,A,14,1
50,A,15,1
50,A,16,0
50,A,17,1
50,A,18,1
50,A,19,0
51,A,0,1
51,A,1,0
51,A,2,1
51,A,3,0
51,A,4,0
51,A,5,0
51,A,6,1
