item,p_A,p_B
0,0.665852,0.285098
1,0.210966,0.339522
2,0.948814,0.967802
3,0.734901,0.826354
4,0.065906,0.091806
5,0.816174,0.774158
6,0.993822,0.965730
7,0.534837,0.402934
8,0.581816,0.533361
9,0.435576,0.386664
10,0.917736,0.919000
11,0.454574,0.513137
12,0.856558,0.694542
13,0.909310,0.910465
14,0.602275,0.396689
15,0.926701,0.803430
16,0.818521,0.866272
17,0.981609,0.974339
18,0.908496,0.778846
19,0.095961,0.230262
20,0.206167,0.088176
21,0.886086,0.792717
22,0.659037,0.210830
23,0.985630,0.993433
24,0.973399,0.972388
25,0.833603,0.668797
26,0.793348,0.865337
27,0.413835,0.547071
28,0.132929,0.242085
29,0.234522,0.282517
30,0.679737,0.652394
31,0.475703,0.709128
32,0.980235,0.964532
33,0.983299,0.983942
34,0.172212,0.093109
35,0.986605,0.990862
36,0.413194,0.585773
37,0.951694,0.944339
38,0.602134,0.746936
39,0.560292,0.695092
40,0.670469,0.385731
41,0.875262,0.788326
42,0.789025,0.802540
43,0.971889,0.982146
44,0.850773,0.649301
45,0.671222,0.491114
46,0.864266,0.844033
47,0.963255,0.866187
48,0.812064,0.870441
49,0.140193,0.202263
50,0.850972,0.862344
51,0.766596,0.837237
52,0.498749,0.221838
53,0.216324,0.227249
54,0.374801,0.240083
55,0.949076,0.906788
56,0.818895,0.886693
57,0.743469,0.595882
58,0.257329,0.302803
59,0.903575,0.669660
60,0.424054,0.420031
61,0.873151,0.822458
62,0.911708,0.926728
63,0.884667,0.751218
64,0.586915,0.803425
65,0.919681,0.917846
66,0.946436,0.960715
67,0.644971,0.609027
68,0.795920,0.710126
69,0.415824,0.471344
70,0.456705,0.636977
71,0.381150,0.573647
72,0.976807,0.991310
73,0.972506,0.984222
74,0.889100,0.909339
75,0.853384,0.883711
76,0.104660,0.143215
77,0.382665,0.245776
78,0.715406,0.857290
79,0.844271,0.867607
80,0.916353,0.897987
81,0.101224,0.025258
82,0.867436,0.616333
83,0.925840,0.912647
84,0.989063,0.990701
85,0.960397,0.948307
86,0.827304,0.774575
87,0.871497,0.786920
88,0.801560,0.904769
89,0.250887,0.488607
90,0.505271,0.574038
91,0.342006,0.554277
92,0.806617,0.761130
93,0.795335,0.846549
94,0.465375,0.239374
95,0.849498,0.591026
96,0.993139,0.988424
97,0.669630,0.761273
98,0.700237,0.523310
99,0.939389,0.888719
100,0.982400,0.986577
101,0.619770,0.562346
102,0.612974,0.478244
103,0.461970,0.349464
104,0.894218,0.924980
105,0.986821,0.971103
106,0.488010,0.695028
107,0.672709,0.639220
108,0.265750,0.407154
109,0.679209,0.558212
110,0.838310,0.626587
111,0.873974,0.810706
112,0.732843,0.683061
113,0.662104,0.810557
114,0.903674,0.790001
115,0.476637,0.382896
116,0.979825,0.941758
117,0.874500,0.892060
118,0.301029,0.204884
119,0.526803,0.302343
120,0.900786,0.681879
121,0.530760,0.853272
122,0.721636,0.856848
123,0.992048,0.980318
124,0.860395,0.809607
125,0.877888,0.926001
126,0.549831,0.710112
127,0.738986,0.783423
128,0.110099,0.215287
129,0.976221,0.979886
130,0.968386,0.931130
131,0.925345,0.869511
132,0.087134,0.072605
133,0.587806,0.451810
134,0.658200,0.308442
135,0.337550,0.198064
136,0.889702,0.885061
137,0.647748,0.755170
138,0.977224,0.956193
139,0.921325,0.775993
140,0.992673,0.994340
141,0.769244,0.726624
142,0.674522,0.693868
143,0.990083,0.987829
144,0.316045,0.693813
145,0.805218,0.263620
146,0.989694,0.982388
147,0.852339,0.789436
148,0.751451,0.870018
149,0.724936,0.627685
150,0.620680,0.917268
151,0.384645,0.252558
152,0.131193,0.246646
153,0.797297,0.339026
154,0.628256,0.673203
155,0.273565,0.240784
156,0.723386,0.529288
157,0.531756,0.345839
158,0.850526,0.843127
159,0.998923,0.998359
160,0.703060,0.444047
161,0.611297,0.864483
162,0.967828,0.963603
163,0.699027,0.583508
