prompt,len_E,len_F,EF,FE,EF_rep,human
0,307,67,1,1,1,
1,160,74,1,1,1,
2,296,242,1,0,0,
3,376,75,1,1,1,
4,134,222,1,0,1,1
5,381,159,0,0,0,
6,302,144,1,1,1,
7,137,156,1,0,1,
8,170,226,1,0,0,0
9,148,223,1,0,1,
10,111,182,1,1,1,
11,192,108,1,1,1,
12,283,189,1,1,1,
13,419,117,0,0,0,
14,351,209,1,0,1,
15,225,197,1,1,1,
16,257,138,1,1,1,
17,432,128,1,1,1,
18,153,204,0,0,0,0
19,88,178,1,0,1,1
20,322,263,1,0,1,
21,157,275,0,0,0,
22,354,148,1,0,1,1
23,313,258,1,1,1,0
24,264,159,1,1,1,1
25,207,172,0,0,0,
26,274,383,1,1,1,1
27,124,189,1,0,1,
28,142,173,1,0,1,
29,208,274,0,0,0,
30,331,231,1,1,1,0
31,188,174,1,1,1,
32,221,195,1,1,1,
33,226,167,1,1,1,
34,170,166,1,1,1,
35,203,232,0,0,0,
36,147,130,1,0,1,
37,276,151,1,1,1,1
38,249,134,1,1,1,
39,232,184,1,1,1,1
40,79,143,0,0,0,
41,107,194,0,0,0,
42,154,146,0,0,0,0
43,217,169,1,0,1,
44,138,373,0,0,0,0
45,218,256,0,0,0,1
46,245,261,0,0,0,
47,69,91,0,0,1,
48,281,179,1,0,1,
49,320,159,1,1,1,
50,132,604,0,0,0,1
51,222,215,1,0,0,
52,109,121,0,0,0,
53,61,218,0,0,0,0
54,297,185,0,0,0,0
55,135,164,1,0,1,
56,157,234,0,0,0,1
57,92,148,0,0,0,
58,165,117,1,1,1,
59,202,99,1,0,1,
60,120,86,1,1,1,
61,254,141,1,0,1,
62,310,117,1,1,1,
63,226,157,1,1,1,
64,357,194,1,0,1,
65,317,285,1,1,1,0
66,348,70,1,1,1,
67,286,152,1,1,1,
68,131,84,0,0,0,
69,183,336,1,0,0,
70,183,281,1,0,1,
71,458,260,1,1,1,0
72,112,108,1,0,1,
73,155,296,1,0,0,0
74,224,135,1,1,1,
75,216,353,0,0,0,
76,377,150,1,1,1,
77,273,181,1,0,1,
78,409,257,0,0,0,
79,270,109,1,1,1,
80,480,164,1,0,1,0
81,104,117,1,1,1,
82,198,194,1,1,1,0
83,123,415,0,0,0,
84,155,120,0,0,0,1
85,464,143,1,1,1,
86,242,176,0,0,0,
87,253,181,1,1,1,
88,460,139,1,1,1,
89,146,61,1,1,1,0
90,167,103,1,1,1,1
91,161,254,1,0,1,
92,132,218,1,1,1,1
93,176,272,0,0,0,
94,134,214,1,0,1,0
95,304,163,1,1,1,1
96,218,148,1,0,1,
97,346,199,1,0,1,
98,192,332,1,0,1,
99,504,198,1,1,1,1
100,175,206,1,0,1,0
101,163,107,1,1,1,1
102,95,75,1,1,1,
103,187,166,1,0,1,
104,166,104,1,0,1,
105,144,109,1,1,1,1
106,130,150,1,0,1,1
107,132,136,1,0,0,
108,142,62,1,1,1,0
109,104,105,1,1,1,0
110,144,123,0,0,0,
111,187,166,1,1,1,
112,168,172,1,0,1,0
113,213,153,1,1,1,1
114,142,289,0,0,0,0
115,268,165,1,0,0,
116,87,112,0,0,0,
117,199,283,1,0,0,
118,149,240,0,0,0,0
119,354,234,1,0,1,
120,233,132,1,1,1,
121,99,131,0,0,0,
122,176,110,1,1,1,0
123,163,212,1,0,1,1
124,261,233,1,1,1,
125,248,227,1,1,1,1
126,290,90,1,1,1,1
127,155,352,0,0,0,
128,70,281,1,0,1,
129,161,311,0,0,0,0
130,247,80,1,0,1,
131,192,129,1,1,1,
132,184,161,1,1,1,
133,212,266,1,1,1,
134,202,230,0,0,0,0
135,146,96,1,1,1,
136,234,150,0,0,0,
137,197,182,1,0,1,
138,84,100,1,0,1,0
139,166,134,1,0,1,
140,233,141,1,0,1,0
141,274,260,1,0,1,0
142,253,158,1,1,1,1
143,202,127,1,0,1,
144,306,155,1,1,1,1
145,91,153,0,0,0,
146,171,150,1,1,1,
147,131,123,1,1,1,
148,202,140,1,1,1,
149,243,314,1,1,1,
150,148,173,1,0,1,1
151,328,114,1,1,1,
152,132,455,1,1,1,
153,93,196,1,1,1,1
154,134,169,1,1,1,
155,121,155,1,1,1,
156,319,166,1,1,1,
157,225,122,1,1,1,1
158,107,89,1,1,1,1
159,196,187,1,1,1,
160,161,143,1,1,1,
161,284,148,0,0,0,1
162,83,256,1,0,1,0
163,253,181,0,0,1,
164,205,251,1,0,1,
165,106,140,1,1,1,
166,89,92,1,0,1,
167,196,212,0,0,1,
168,162,227,1,1,1,
169,187,108,1,1,1,
170,133,134,0,0,0,
171,348,241,1,1,1,
172,205,133,1,1,1,0
173,198,229,1,0,1,
174,123,154,1,0,1,1
175,248,229,0,0,0,
176,180,159,0,0,0,
177,258,176,1,0,1,
178,125,215,1,0,0,1
179,426,117,1,0,1,
180,282,137,1,1,1,
181,140,182,1,1,1,
182,137,129,0,0,1,
183,186,152,1,0,1,1
184,183,284,1,0,0,
185,127,233,0,0,0,
186,186,127,1,1,1,
187,311,147,1,1,1,
188,181,279,1,1,1,
189,227,350,1,1,1,1
190,160,181,1,1,1,
191,98,90,1,0,1,
192,288,223,0,0,0,0
193,351,117,1,1,1,
194,263,118,1,1,1,
195,258,125,1,1,1,
196,149,178,0,0,0,
197,220,305,1,0,1,
198,258,239,1,1,1,
199,353,161,1,1,1,
200,247,193,1,1,1,
201,378,278,1,1,1,
202,135,207,1,0,1,
203,193,300,1,0,1,
204,223,132,0,0,0,
205,171,123,1,1,1,0
206,256,319,1,0,1,
207,121,100,1,1,1,
208,226,213,1,0,1,
209,204,310,1,1,1,
210,272,182,0,0,0,1
211,424,166,1,1,1,
212,304,173,1,0,1,0
213,106,301,1,1,1,
214,167,148,1,0,1,
215,107,155,1,0,1,
216,407,165,1,1,1,1
217,329,185,1,0,1,
218,166,121,1,1,1,0
219,234,125,1,0,1,
220,204,125,1,1,1,
221,175,94,1,1,1,
222,178,277,1,0,1,
223,143,169,1,0,0,
224,199,110,0,0,0,
225,260,109,1,1,1,1
226,170,173,1,0,1,
227,154,138,1,1,1,1
228,200,200,1,1,1,
229,220,152,1,1,1,
230,151,506,0,0,0,
231,195,198,1,1,1,
232,193,291,0,0,0,
233,111,229,0,0,0,
234,216,185,1,1,1,
235,294,132,1,1,1,
236,106,251,0,0,0,
237,218,169,1,0,1,0
238,119,69,1,1,1,
239,239,204,1,1,1,
