benchmark,item,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
B1,0,0,1,1,1,1,1,1,1,1,1,1,1
B1,1,1,1,1,1,1,1,1,1,1,0,1,1
B1,2,0,0,0,1,1,1,0,1,1,1,1,1
B1,3,1,1,1,0,1,1,1,1,1,1,1,0
B1,4,1,1,1,1,0,1,1,1,1,0,1,0
B1,5,1,1,0,1,0,1,1,1,1,1,0,0
B1,6,0,0,1,1,1,1,1,1,1,1,0,0
B1,7,0,1,1,1,1,1,1,1,1,0,0,0
B1,8,1,1,0,1,1,1,0,1,1,1,1,0
B1,9,0,1,1,0,1,1,1,1,1,1,1,1
B1,10,1,1,1,1,1,0,1,1,1,1,1,0
B1,11,1,1,1,1,1,1,1,0,1,1,1,1
B1,12,1,1,1,1,1,1,0,1,1,1,1,0
B1,13,1,1,1,1,1,1,1,1,1,1,1,1
B1,14,1,0,1,1,1,0,1,1,1,0,1,0
B1,15,1,1,1,1,1,1,1,1,1,1,1,1
B1,16,1,1,1,1,1,1,1,1,1,1,1,1
B1,17,1,1,1,1,1,1,1,1,1,1,1,1
B1,18,1,1,1,1,1,1,1,0,0,1,1,0
B1,19,1,1,1,1,1,1,1,1,0,0,0,1
B1,20,1,0,1,0,0,1,0,1,1,0,0,0
B1,21,0,1,1,0,0,1,0,0,0,1,0,1
B1,22,0,0,0,0,0,0,0,0,0,0,0,0
B1,23,0,1,1,1,1,1,0,1,1,1,1,0
B1,24,1,1,1,1,1,1,1,1,1,1,0,1
B1,25,1,1,1,1,1,1,1,1,1,1,1,1
B1,26,1,1,1,1,1,1,1,1,1,1,1,1
B1,27,0,1,0,1,0,0,0,0,0,0,0,0
B1,28,0,0,0,0,0,0,0,0,0,0,0,0
B1,29,1,1,1,1,1,1,0,1,1,0,0,1
B1,30,0,1,1,1,1,1,1,1,1,1,1,0
B1,31,1,1,1,1,1,1,1,0,0,1,1,0
B1,32,1,1,1,1,1,1,1,1,1,0,1,1
B1,33,1,1,1,1,1,1,1,1,1,1,1,1
B1,34,1,1,1,0,1,1,1,1,1,0,1,0
B1,35,1,0,0,0,1,0,0,0,0,0,0,0
B1,36,1,1,1,1,1,1,1,1,1,1,0,1
B1,37,1,1,1,0,1,1,1,1,0,0,1,0
B1,38,0,0,1,0,1,1,0,0,0,0,0,0
B1,39,0,1,0,1,1,0,0,0,0,0,0,1
B1,40,1,1,1,1,1,1,0,1,1,1,1,1
B1,41,1,1,1,1,0,1,1,1,1,1,0,1
B1,42,1,1,1,1,1,1,1,1,1,1,1,1
B1,43,1,0,1,1,0,0,1,0,0,0,0,0
B1,44,0,0,0,1,1,1,1,1,0,0,0,0
B1,45,1,1,1,1,0,1,1,1,1,0,1,1
B1,46,0,1,1,0,1,1,1,0,0,0,1,1
B1,47,1,1,1,1,1,1,1,1,1,1,1,1
B1,48,1,1,1,1,1,1,1,1,1,1,0,1
B1,49,1,1,1,1,1,1,1,0,0,0,0,0
B1,50,1,1,1,1,1,1,1,1,1,1,1,1
B1,51,1,1,1,1,1,1,1,1,1,1,0,0
B1,52,0,0,0,0,1,0,0,0,0,1,0,0
B1,53,1,1,0,1,1,0,0,0,0,0,0,0
B1,54,0,1,1,1,1,1,0,1,1,1,1,1
B1,55,0,0,0,0,1,1,1,0,0,1,1,1
B1,56,0,1,1,1,0,0,0,0,0,0,0,0
B1,57,0,1,0,1,1,0,1,1,0,1,0,0
