item,confidence,correct
0,0.6526,1
1,0.7123,0
2,0.7591,0
3,0.9777,1
4,0.9895,1
5,0.5743,0
6,0.5054,1
7,0.3311,0
8,0.5147,0
9,0.9950,0
10,0.7056,0
11,0.9950,1
12,0.7456,1
13,0.8532,0
14,0.9885,1
15,0.8530,1
16,0.8572,1
17,0.7706,1
18,0.6172,1
19,0.3884,0
20,0.9950,1
21,0.9950,1
22,0.5366,0
23,0.5175,1
24,0.7451,1
25,0.6141,0
26,0.9417,1
27,0.5939,0
28,0.9950,1
29,0.9813,1
30,0.9654,1
31,0.8853,1
32,0.9900,1
33,0.9160,0
34,0.8761,1
35,0.9057,1
36,0.7352,1
37,0.3444,1
38,0.9781,1
39,0.6652,0
40,0.8549,1
41,0.9767,1
42,0.9649,1
43,0.9486,1
44,0.9331,1
45,0.8166,1
46,0.9696,1
47,0.8864,1
48,0.7607,1
49,0.5432,1
50,0.9950,1
51,0.9688,1
52,0.8361,1
53,0.8791,0
54,0.3259,0
55,0.9124,1
56,0.8119,1
57,0.9898,1
58,0.9449,0
59,0.8017,0
60,0.6969,1
61,0.5556,0
62,0.9745,1
63,0.7689,0
64,0.8500,0
65,0.2600,1
66,0.7113,0
67,0.9950,1
68,0.8544,1
69,0.2600,0
70,0.8195,1
71,0.9139,1
72,0.3906,0
73,0.9586,1
74,0.9950,1
75,0.8627,0
76,0.8465,0
77,0.6923,0
78,0.3507,1
79,0.9893,1
80,0.7556,1
81,0.9677,1
82,0.8181,1
83,0.9316,1
84,0.8249,1
85,0.9950,0
86,0.6590,0
87,0.9309,1
88,0.5084,1
89,0.2692,0
90,0.9950,1
91,0.7041,1
92,0.8380,0
93,0.3926,1
94,0.9950,1
95,0.8029,1
96,0.4247,1
97,0.8246,0
98,0.9208,1
99,0.8560,0
100,0.8012,1
101,0.6156,1
102,0.9477,1
103,0.8736,0
104,0.8838,1
105,0.6452,1
106,0.9950,1
107,0.5701,0
108,0.9885,1
109,0.9950,1
110,0.9721,1
111,0.9950,1
112,0.9950,1
113,0.7943,1
114,0.9214,1
115,0.9950,1
116,0.8221,1
117,0.7627,0
118,0.9878,0
119,0.8953,0
120,0.7641,0
121,0.9717,1
122,0.8250,1
123,0.9950,1
124,0.9950,1
125,0.8569,0
126,0.8941,1
127,0.8653,1
128,0.3009,1
129,0.9950,1
130,0.4919,0
131,0.9823,1
132,0.6320,0
133,0.9680,1
134,0.3456,1
135,0.9950,1
136,0.5277,1
137,0.6393,1
138,0.9428,1
139,0.8762,1
140,0.3689,0
141,0.9950,1
142,0.9756,1
143,0.8745,1
144,0.9926,1
145,0.9950,1
146,0.9633,1
147,0.7852,0
148,0.5372,0
149,0.9808,1
150,0.5236,0
151,0.6950,1
152,0.9950,1
153,0.4933,0
154,0.6386,0
155,0.7765,0
156,0.8499,1
157,0.8733,1
158,0.9126,1
159,0.7606,0
160,0.9314,1
161,0.9950,1
162,0.7069,0
163,0.9488,1
164,0.8485,0
165,0.9950,1
166,0.9697,1
167,0.6769,0
168,0.3009,1
169,0.8901,1
170,0.9325,1
171,0.7128,0
172,0.7831,0
173,0.9762,1
174,0.6493,0
175,0.8920,1
176,0.3343,0
177,0.9855,1
178,0.7786,1
179,0.9950,1
180,0.9775,1
181,0.9518,0
182,0.9444,0
183,0.8776,1
184,0.9621,1
185,0.8221,0
186,0.8255,1
187,0.9921,1
188,0.9826,1
189,0.9407,1
190,0.4588,1
191,0.9835,1
192,0.9810,1
193,0.3607,0
194,0.3376,1
195,0.2912,1
196,0.4273,0
197,0.3759,0
198,0.9032,1
199,0.9534,1
200,0.7006,1
201,0.6982,1
202,0.6404,1
203,0.9866,0
204,0.9770,1
205,0.9423,1
206,0.9266,0
207,0.9006,1
208,0.7189,1
209,0.8912,0
210,0.9950,1
211,0.4525,1
212,0.6808,0
213,0.9612,0
214,0.9528,1
215,0.5475,1
216,0.8022,1
217,0.9644,0
218,0.9591,0
219,0.7803,1
220,0.9845,1
221,0.4210,1
222,0.9914,1
223,0.9950,1
224,0.5818,1
225,0.6632,1
226,0.8678,1
227,0.8701,1
228,0.8092,1
229,0.5312,0
230,0.9744,1
231,0.5783,1
232,0.8909,0
233,0.9950,1
234,0.6405,1
235,0.9950,1
236,0.7316,0
237,0.8164,0
238,0.8553,1
239,0.4389,0
240,0.9138,1
241,0.8459,1
242,0.4353,0
243,0.9114,1
244,0.9918,0
245,0.4857,1
246,0.9006,1
247,0.9126,1
248,0.2600,0
249,0.9950,1
250,0.8989,1
251,0.9556,1
252,0.8632,1
253,0.3483,0
254,0.9917,0
255,0.9369,1
256,0.9244,0
257,0.9005,1
258,0.9654,1
259,0.8913,1
260,0.9406,1
261,0.9921,1
262,0.8194,0
263,0.9950,1
264,0.8014,1
265,0.5861,1
266,0.8872,1
267,0.6315,1
268,0.6743,1
269,0.8359,1
270,0.6345,1
271,0.8498,1
272,0.4414,1
273,0.6737,1
274,0.9950,1
275,0.9030,0
276,0.5225,0
277,0.8536,1
278,0.9076,1
279,0.9855,1
280,0.9856,1
281,0.8077,0
282,0.8993,1
283,0.6964,1
284,0.9547,1
285,0.4976,1
286,0.9692,0
287,0.8414,1
288,0.8091,0
289,0.6401,1
290,0.7023,1
291,0.7039,0
292,0.9709,0
293,0.9735,1
294,0.9514,1
295,0.3849,1
296,0.7850,1
297,0.8983,1
298,0.8119,1
299,0.8907,1
300,0.6951,1
301,0.5041,0
302,0.2600,0
303,0.6999,1
304,0.7547,1
305,0.5208,0
306,0.8547,1
307,0.2917,0
308,0.6389,0
309,0.9326,1
310,0.8025,0
311,0.2600,1
312,0.6887,1
313,0.7891,1
314,0.8260,0
315,0.9436,1
316,0.8380,1
317,0.9753,1
318,0.9950,1
319,0.9922,1
320,0.9318,0
321,0.8418,0
322,0.9668,1
323,0.9462,1
324,0.9460,1
325,0.9656,1
326,0.9331,1
327,0.9931,1
328,0.7080,0
329,0.9950,1
330,0.7228,0
331,0.9763,1
332,0.8464,1
333,0.9371,1
334,0.5565,1
335,0.7212,0
336,0.9764,0
337,0.8824,1
338,0.3825,1
339,0.9460,1
340,0.8245,1
341,0.5500,1
342,0.9154,0
343,0.9950,1
344,0.6179,0
345,0.8848,1
346,0.4284,1
347,0.8564,0
348,0.9511,1
349,0.9950,1
350,0.7080,0
351,0.9252,1
352,0.8647,1
353,0.9396,1
