item,rater,flag,quality
0,R1,0,4
0,R2,0,3
0,R3,0,5
1,R1,0,5
1,R2,0,5
1,R3,0,5
2,R1,0,2
2,R2,0,4
2,R3,0,1
3,R1,0,3
3,R2,0,3
3,R3,0,3
4,R1,0,1
4,R2,0,1
4,R3,0,1
5,R1,1,4
5,R2,1,5
5,R3,1,
6,R1,0,3
6,R2,0,3
6,R3,0,1
7,R1,0,2
7,R2,0,1
7,R3,0,1
8,R1,0,5
8,R2,0,5
8,R3,0,5
9,R1,1,3
9,R2,1,1
9,R3,1,2
10,R1,0,1
10,R2,0,1
10,R3,0,2
11,R1,0,3
11,R2,0,3
11,R3,0,1
12,R1,0,3
12,R2,0,3
12,R3,0,2
13,R1,0,2
13,R2,0,2
13,R3,0,2
14,R1,0,3
14,R2,0,2
14,R3,0,3
15,R1,0,2
15,R2,0,3
15,R3,0,
16,R1,0,4
16,R2,0,5
16,R3,0,4
17,R1,0,3
17,R2,0,4
17,R3,0,2
18,R1,0,4
18,R2,0,4
18,R3,0,4
19,R1,0,1
19,R2,0,1
19,R3,0,
20,R1,0,1
20,R2,0,3
20,R3,0,1
21,R1,0,2
21,R2,0,4
21,R3,0,3
22,R1,0,3
22,R2,0,2
22,R3,0,2
23,R1,0,3
23,R2,0,4
23,R3,0,3
24,R1,0,4
24,R2,0,2
24,R3,0,3
25,R1,0,2
25,R2,0,5
25,R3,0,3
26,R1,0,2
26,R2,0,3
26,R3,0,3
27,R1,0,2
27,R2,0,3
27,R3,0,
28,R1,0,2
28,R2,0,1
28,R3,0,1
29,R1,0,3
29,R2,0,3
29,R3,0,2
30,R1,0,3
30,R2,0,3
30,R3,0,4
31,R1,0,1
31,R2,0,5
31,R3,0,2
32,R1,0,3
32,R2,0,2
32,R3,0,1
33,R1,0,2
33,R2,0,2
33,R3,0,4
34,R1,0,4
34,R2,0,5
34,R3,0,4
35,R1,0,4
35,R2,0,3
35,R3,0,4
36,R1,0,2
36,R2,0,4
36,R3,0,4
37,R1,0,2
37,R2,0,2
37,R3,0,3
38,R1,0,2
38,R2,0,3
38,R3,0,3
39,R1,0,3
39,R2,1,4
39,R3,0,2
40,R1,0,4
40,R2,0,4
40,R3,0,3
41,R1,0,1
41,R2,0,1
41,R3,0,1
42,R1,0,2
42,R2,0,2
42,R3,0,2
43,R1,0,4
43,R2,0,4
43,R3,0,3
44,R1,0,4
44,R2,0,3
44,R3,0,3
45,R1,0,2
45,R2,0,3
45,R3,0,1
46,R1,0,3
46,R2,0,3
46,R3,0,3
47,R1,0,3
47,R2,0,3
47,R3,0,3
48,R1,1,2
48,R2,1,3
48,R3,1,
49,R1,0,2
49,R2,0,2
49,R3,0,2
50,R1,0,4
50,R2,0,5
50,R3,0,4
