subject,item,correct
algebra,0,0
algebra,1,0
algebra,2,1
algebra,3,1
algebra,4,0
algebra,5,0
algebra,6,1
algebra,7,1
algebra,8,0
algebra,9,1
algebra,10,1
algebra,11,1
algebra,12,1
algebra,13,1
algebra,14,1
algebra,15,1
algebra,16,1
algebra,17,0
algebra,18,0
algebra,19,0
algebra,20,1
algebra,21,0
algebra,22,1
algebra,23,0
algebra,24,0
algebra,25,1
algebra,26,0
algebra,27,1
algebra,28,0
algebra,29,0
algebra,30,0
algebra,31,0
algebra,32,0
algebra,33,0
algebra,34,1
algebra,35,1
algebra,36,1
algebra,37,1
algebra,38,0
algebra,39,1
algebra,40,0
algebra,41,1
algebra,42,0
algebra,43,1
algebra,44,0
algebra,45,0
algebra,46,0
algebra,47,1
algebra,48,1
algebra,49,1
algebra,50,1
algebra,51,1
algebra,52,0
algebra,53,1
algebra,54,0
algebra,55,1
algebra,56,1
algebra,57,1
algebra,58,1
algebra,59,1
algebra,60,0
algebra,61,1
algebra,62,1
algebra,63,0
algebra,64,1
algebra,65,1
algebra,66,1
algebra,67,0
algebra,68,1
algebra,69,1
algebra,70,0
algebra,71,1
algebra,72,0
algebra,73,1
algebra,74,0
algebra,75,1
algebra,76,1
algebra,77,0
algebra,78,1
algebra,79,1
algebra,80,0
algebra,81,0
algebra,82,1
algebra,83,0
algebra,84,1
algebra,85,0
algebra,86,1
algebra,87,0
algebra,88,1
algebra,89,0
algebra,90,1
algebra,91,1
algebra,92,0
algebra,93,0
algebra,94,1
algebra,95,1
algebra,96,1
algebra,97,0
algebra,98,0
algebra,99,0
algebra,100,0
algebra,101,0
algebra,102,1
algebra,103,1
algebra,104,1
algebra,105,1
algebra,106,0
algebra,107,1
algebra,108,1
algebra,109,0
algebra,110,0
algebra,111,1
algebra,112,1
algebra,113,1
algebra,114,0
algebra,115,1
algebra,116,0
algebra,117,1
algebra,118,0
algebra,119,1
algebra,120,0
algebra,121,1
algebra,122,0
algebra,123,1
algebra,124,1
algebra,125,0
algebra,126,0
algebra,127,0
algebra,128,0
algebra,129,1
algebra,130,0
algebra,131,1
algebra,132,1
algebra,133,1
algebra,134,1
algebra,135,1
algebra,136,1
algebra,137,1
algebra,138,1
algebra,139,1
algebra,140,0
algebra,141,1
algebra,142,0
algebra,143,0
algebra,144,0
algebra,145,0
algebra,146,0
algebra,147,1
algebra,148,1
algebra,149,0
biology,150,1
biology,151,1
biology,152,1
biology,153,0
biology,154,1
biology,155,1
biology,156,1
biology,157,1
biology,158,1
biology,159,1
biology,160,1
biology,161,1
biology,162,1
biology,163,1
biology,164,1
biology,165,1
biology,166,1
biology,167,0
biology,168,1
biology,169,1
biology,170,1
biology,171,1
biology,172,1
biology,173,1
biology,174,1
biology,175,1
biology,176,0
biology,177,1
biology,178,1
biology,179,1
biology,180,1
biology,181,1
biology,182,1
biology,183,0
biology,184,1
biology,185,1
biology,186,1
biology,187,1
biology,188,1
biology,189,0
biology,190,1
biology,191,1
biology,192,1
biology,193,1
biology,194,1
biology,195,1
biology,196,1
biology,197,1
biology,198,1
biology,199,1
biology,200,1
biology,201,0
biology,202,1
biology,203,1
biology,204,0
biology,205,0
biology,206,0
biology,207,1
biology,208,1
biology,209,1
biology,210,1
biology,211,1
biology,212,1
biology,213,1
biology,214,1
biology,215,1
biology,216,1
biology,217,1
biology,218,1
biology,219,1
biology,220,1
biology,221,0
biology,222,1
biology,223,1
biology,224,1
biology,225,0
biology,226,1
biology,227,1
biology,228,1
biology,229,1
biology,230,1
biology,231,1
biology,232,1
biology,233,1
biology,234,1
biology,235,1
biology,236,1
biology,237,1
biology,238,1
biology,239,1
biology,240,1
biology,241,1
biology,242,0
biology,243,1
biology,244,1
biology,245,1
biology,246,0
biology,247,1
biology,248,1
biology,249,1
biology,250,1
biology,251,0
biology,252,1
biology,253,1
biology,254,1
biology,255,1
biology,256,1
biology,257,1
biology,258,1
biology,259,1
biology,260,1
biology,261,1
biology,262,1
biology,263,1
biology,264,1
biology,265,1
biology,266,1
biology,267,0
biology,268,0
biology,269,1
biology,270,1
biology,271,1
biology,272,1
biology,273,0
biology,274,1
biology,275,0
biology,276,1
biology,277,1
biology,278,1
biology,279,1
biology,280,1
biology,281,1
biology,282,1
biology,283,0
biology,284,1
biology,285,1
biology,286,1
biology,287,1
biology,288,1
biology,289,1
biology,290,1
biology,291,1
biology,292,1
biology,293,1
biology,294,1
biology,295,1
biology,296,0
biology,297,1
biology,298,1
biology,299,1
chemistry,300,1
chemistry,301,0
chemistry,302,0
chemistry,303,1
chemistry,304,0
chemistry,305,1
chemistry,306,1
chemistry,307,1
chemistry,308,1
chemistry,309,0
chemistry,310,0
chemistry,311,1
chemistry,312,0
chemistry,313,1
chemistry,314,1
chemistry,315,1
chemistry,316,1
chemistry,317,1
chemistry,318,0
chemistry,319,0
chemistry,320,1
chemistry,321,1
chemistry,322,1
chemistry,323,0
chemistry,324,1
chemistry,325,1
chemistry,326,0
chemistry,327,0
chemistry,328,1
chemistry,329,1
chemistry,330,1
chemistry,331,1
chemistry,332,1
chemistry,333,1
chemistry,334,0
chemistry,335,1
chemistry,336,1
chemistry,337,1
chemistry,338,1
chemistry,339,0
chemistry,340,1
chemistry,341,0
chemistry,342,0
chemistry,343,0
chemistry,344,1
chemistry,345,1
chemistry,346,1
chemistry,347,1
chemistry,348,1
chemistry,349,1
chemistry,350,1
chemistry,351,1
chemistry,352,1
chemistry,353,1
chemistry,354,1
chemistry,355,1
chemistry,356,1
chemistry,357,1
chemistry,358,1
chemistry,359,1
chemistry,360,0
chemistry,361,1
chemistry,362,0
chemistry,363,1
chemistry,364,0
chemistry,365,1
chemistry,366,1
chemistry,367,1
chemistry,368,0
chemistry,369,1
chemistry,370,0
chemistry,371,0
chemistry,372,1
chemistry,373,1
chemistry,374,0
chemistry,375,1
chemistry,376,1
chemistry,377,0
chemistry,378,1
chemistry,379,1
chemistry,380,0
chemistry,381,1
chemistry,382,1
chemistry,383,1
chemistry,384,1
chemistry,385,1
chemistry,386,1
chemistry,387,1
chemistry,388,1
chemistry,389,1
chemistry,390,0
chemistry,391,1
chemistry,392,0
chemistry,393,1
chemistry,394,1
chemistry,395,1
chemistry,396,1
chemistry,397,0
chemistry,398,1
chemistry,399,0
chemistry,400,1
chemistry,401,1
chemistry,402,1
chemistry,403,1
chemistry,404,1
chemistry,405,1
chemistry,406,0
chemistry,407,1
chemistry,408,1
chemistry,409,1
chemistry,410,0
chemistry,411,1
chemistry,412,1
chemistry,413,1
chemistry,414,1
chemistry,415,1
chemistry,416,1
chemistry,417,1
chemistry,418,0
chemistry,419,1
chemistry,420,0
chemistry,421,0
chemistry,422,1
chemistry,423,0
chemistry,424,1
chemistry,425,1
chemistry,426,0
chemistry,427,1
chemistry,428,1
chemistry,429,1
chemistry,430,1
chemistry,431,1
chemistry,432,1
chemistry,433,1
chemistry,434,1
chemistry,435,1
chemistry,436,1
chemistry,437,1
chemistry,438,1
chemistry,439,1
chemistry,440,0
chemistry,441,1
chemistry,442,0
chemistry,443,1
chemistry,444,0
chemistry,445,1
chemistry,446,1
chemistry,447,1
chemistry,448,1
chemistry,449,1
history,450,1
history,451,1
history,452,1
history,453,1
history,454,1
history,455,1
history,456,1
history,457,1
history,458,1
history,459,1
history,460,1
history,461,1
history,462,1
history,463,1
history,464,1
history,465,1
history,466,1
history,467,1
history,468,1
history,469,1
history,470,1
history,471,0
history,472,0
history,473,1
history,474,1
history,475,1
history,476,1
history,477,1
history,478,1
history,479,1
history,480,1
history,481,1
history,482,1
history,483,1
history,484,1
history,485,1
history,486,1
history,487,1
history,488,1
history,489,1
history,490,1
history,491,1
history,492,1
history,493,1
history,494,1
history,495,1
history,496,1
history,497,1
history,498,1
history,499,0
history,500,1
history,501,1
history,502,1
history,503,1
history,504,1
history,505,1
history,506,1
history,507,1
history,508,1
history,509,1
history,510,1
history,511,1
history,512,1
history,513,1
history,514,1
history,515,1
history,516,1
history,517,1
history,518,1
history,519,1
history,520,1
history,521,1
history,522,1
history,523,1
history,524,1
history,525,1
history,526,1
history,527,1
history,528,1
history,529,1
history,530,1
history,531,1
history,532,1
history,533,1
history,534,1
history,535,1
history,536,1
history,537,1
history,538,1
history,539,1
history,540,1
history,541,1
history,542,1
history,543,1
history,544,1
history,545,1
history,546,1
history,547,1
history,548,1
history,549,1
history,550,1
history,551,1
history,552,1
history,553,1
history,554,1
history,555,1
history,556,1
history,557,1
history,558,1
history,559,1
history,560,1
history,561,1
history,562,1
history,563,1
history,564,1
history,565,1
history,566,1
history,567,1
history,568,1
history,569,1
history,570,1
history,571,1
history,572,1
history,573,1
history,574,1
history,575,1
history,576,1
history,577,0
history,578,0
history,579,1
history,580,1
history,581,1
history,582,1
history,583,1
history,584,1
history,585,1
history,586,1
history,587,1
history,588,1
history,589,1
history,590,1
history,591,1
history,592,1
history,593,1
history,594,1
history,595,1
history,596,1
history,597,1
history,598,0
history,599,1
law,600,0
law,601,0
law,602,0
law,603,0
law,604,1
law,605,0
law,606,0
law,607,0
law,608,0
law,609,1
law,610,0
law,611,1
law,612,1
law,613,1
law,614,1
law,615,1
law,616,1
law,617,0
law,618,0
law,619,0
law,620,0
law,621,1
law,622,1
law,623,0
law,624,0
law,625,0
law,626,0
law,627,1
law,628,0
law,629,1
law,630,1
law,631,1
law,632,0
law,633,1
law,634,0
law,635,1
law,636,1
law,637,1
law,638,1
law,639,0
law,640,1
law,641,1
law,642,0
law,643,0
law,644,0
law,645,0
law,646,0
law,647,0
law,648,0
law,649,1
law,650,1
law,651,0
law,652,0
law,653,1
law,654,1
law,655,0
law,656,0
law,657,0
law,658,1
law,659,0
law,660,0
law,661,0
law,662,1
law,663,0
law,664,1
law,665,0
law,666,1
law,667,0
law,668,1
law,669,1
law,670,1
law,671,1
law,672,1
law,673,1
law,674,0
law,675,1
law,676,0
law,677,1
law,678,1
law,679,0
law,680,1
law,681,0
law,682,1
law,683,0
law,684,0
law,685,1
law,686,1
law,687,0
law,688,0
law,689,0
law,690,1
law,691,0
law,692,0
law,693,1
law,694,1
law,695,1
law,696,0
law,697,1
law,698,1
law,699,0
law,700,0
law,701,0
law,702,0
law,703,1
law,704,1
law,705,1
law,706,1
law,707,1
law,708,1
law,709,0
law,710,1
law,711,0
law,712,0
law,713,1
law,714,0
law,715,0
law,716,1
law,717,0
law,718,0
law,719,1
law,720,0
law,721,1
law,722,0
law,723,0
law,724,0
law,725,1
law,726,1
law,727,0
law,728,0
